event_id,n_kontrollen_gefunden
0,14
2,30
5,30
7,11
8,9
11,30
12,30
15,30
25,11
27,30
30,30
33,11
34,12
39,30
40,30
46,9
47,11
52,30
53,30
55,30
56,12
63,30
64,30
68,30
70,9
74,10
78,30
86,30
88,30
92,30
96,30
99,30
102,30
103,15
104,30
105,30
107,11
108,15
109,16
111,16
112,30
114,30
115,30
117,15
119,11
120,11
121,16
123,30
124,30
125,11
127,30
130,30
131,30
132,9
133,12
139,8
141,11
142,30
148,30
152,30
160,14
165,10
166,12
170,30
174,30
176,30
178,30
179,12
198,30
202,30
204,30
208,11
210,30
211,30
213,30
216,30
227,6
232,11
243,30
250,30
252,30
253,30
257,4
262,6
269,30
271,30
273,30
275,30
278,8
279,30
281,30
283,30
285,11
286,10
287,30
290,30
293,30
294,30
295,4
297,12
303,30
308,4
310,11
312,13
315,30
318,30
322,30
324,9
325,30
330,30
333,8
335,9
336,30
340,30
342,30
348,30
351,9
353,10
354,30
356,9
358,30
359,30
360,12
364,30
367,30
369,30
381,30
384,30
385,30
392,9
393,15
399,30
411,30
431,30
435,30
437,9
442,8
452,9
453,15
460,14
463,29
465,30
466,30
468,30
470,9
471,9
472,30
474,30
481,30
483,30
484,13
486,30
487,30
488,30
489,30
494,10
496,11
497,13
498,30
499,9
501,30
502,30
503,30
510,30
511,30
1,14
4,30
6,11
10,11
14,30
16,30
17,30
18,30
19,30
23,10
28,30
29,30
32,10
36,13
41,30
42,11
50,12
51,30
54,30
57,12
58,12
59,30
60,30
65,30
66,30
67,30
69,11
71,11
72,30
77,30
84,12
87,30
89,30
90,11
91,30
93,30
94,30
95,30
97,30
101,30
106,30
113,30
116,30
118,16
122,30
126,30
128,30
129,30
136,30
137,30
138,30
140,11
143,30
144,30
145,30
146,8
147,10
158,13
159,14
161,11
164,10
169,13
171,30
177,30
183,9
184,11
185,10
192,30
193,30
197,30
199,30
203,30
207,11
209,30
212,30
214,30
221,30
225,30
226,4
231,10
233,30
234,30
238,30
244,30
248,8
258,3
259,30
267,12
270,30
272,30
274,30
277,9
280,30
282,30
284,9
291,30
292,30
296,5
298,30
299,30
300,30
301,10
302,12
304,30
306,30
307,9
309,8
311,12
313,30
317,30
321,30
326,30
329,30
331,30
334,8
347,30
349,9
350,8
352,11
355,30
357,30
366,30
368,30
372,30
379,30
382,30
383,30
388,9
390,8
394,30
396,30
401,30
412,30
416,30
418,30
423,30
433,30
438,10
443,10
447,10
451,10
454,15
461,15
464,30
467,30
469,30
473,30
475,30
480,30
482,30
485,30
490,30
491,30
495,11
500,11
505,30
512,12
515,14
527,30
528,12
537,30
538,30
545,30
546,30
547,30
550,12
555,30
559,10
563,12
567,30
568,30
570,30
572,30
574,12
575,12
577,30
578,30
582,30
584,30
585,30
587,11
588,12
589,30
594,30
599,30
600,30
601,10
602,30
604,30
605,30
608,30
612,30
614,15
617,30
618,30
621,16
624,30
629,15
630,10
631,10
635,30
639,11
645,30
647,30
648,7
649,10
652,30
653,30
657,10
658,12
659,30
661,30
662,30
665,11
666,10
668,30
681,14
683,14
684,10
691,13
692,13
695,30
698,30
699,30
704,10
708,9
713,30
717,30
719,30
723,30
724,30
725,30
729,8
732,30
735,30
739,30
742,30
750,30
757,30
758,30
760,30
765,30
767,6
769,10
770,30
773,30
777,30
779,5
781,30
782,6
784,5
787,12
789,11
791,30
795,30
798,8
803,30
804,30
805,9
809,30
811,30
812,30
814,30
817,6
821,30
822,8
823,12
824,30
831,9
833,12
836,30
839,30
842,30
844,30
845,11
847,30
851,30
852,30
856,9
857,30
860,30
865,30
867,30
869,8
872,30
874,30
877,30
887,30
888,30
889,30
892,30
897,30
902,30
904,30
908,9
909,9
913,10
920,30
923,30
929,30
934,30
938,30
940,9
943,11
945,11
955,14
957,30
958,30
963,30
965,30
967,30
970,30
982,12
984,12
513,14
519,30
522,12
523,14
524,30
525,30
529,30
534,30
535,30
543,11
544,30
548,30
549,10
551,12
552,14
553,30
554,30
560,10
569,30
571,30
573,30
576,30
580,30
583,30
586,30
595,30
596,30
603,30
609,30
613,30
615,30
616,30
619,12
620,16
622,15
623,30
625,30
626,30
628,16
632,16
633,17
637,30
638,30
640,30
641,30
644,30
646,30
650,30
654,30
660,30
667,13
669,30
670,30
682,14
685,11
687,9
690,12
697,30
700,30
701,12
707,10
712,30
716,30
718,30
721,30
727,30
731,12
745,30
747,30
748,30
749,30
751,5
753,11
759,30
763,30
764,30
768,6
771,30
774,30
776,30
780,8
783,11
790,30
792,30
793,30
794,30
796,30
799,7
800,11
801,30
802,30
806,10
807,11
808,30
810,30
813,30
815,30
816,6
819,30
832,12
834,12
838,30
840,30
841,30
843,30
846,10
849,30
853,10
861,30
863,30
866,30
868,30
870,10
871,30
873,9
875,30
876,30
881,30
884,30
891,30
899,30
903,30
914,10
915,15
916,30
924,30
925,30
927,30
937,30
939,30
941,9
942,9
944,11
950,14
951,30
952,30
959,10
960,9
961,10
962,30
964,30
968,30
969,14
971,30
972,30
973,30
978,8
981,11
983,10
985,30
986,30
991,30
992,30
993,30
994,12
996,14
997,30
1000,30
1004,11
1008,30
1013,30
1014,30
1019,30
1020,30
1021,30
1022,30
1031,30
1035,9
1038,12
1041,30
1042,30
1045,30
1047,30
1049,12
1050,12
1051,30
1052,30
1055,30
1058,30
1060,11
1062,12
1063,13
1064,30
1072,30
1076,30
1077,30
1079,30
1080,30
1083,30
1085,30
1086,30
1089,30
1090,30
1094,30
1096,16
1099,30
1100,30
1102,16
1106,30
1112,15
1113,10
1114,10
1117,30
1120,11
1122,30
1124,30
1128,7
1129,11
1133,30
1134,30
1136,10
1137,11
1138,30
1140,30
1146,30
1156,13
1157,14
1159,14
1160,10
1171,13
1174,30
1176,30
1179,30
