date,rows_muenchen,status
2025-01-01,402288,ok
2025-01-02,434353,ok
2025-01-03,496733,ok
2025-01-04,316382,ok
2025-01-05,354220,ok
2025-01-06,291435,ok
2025-01-07,479332,ok
2025-01-08,388994,ok
2025-01-09,463047,ok
2025-01-10,404422,ok
2025-01-11,69936,ok
2025-01-12,155014,ok
2025-01-13,32315,ok
2025-01-14,499422,ok
2025-01-15,571371,ok
2025-01-16,559010,ok
2025-01-17,495536,ok
2025-01-18,298000,ok
2025-01-19,251088,ok
2025-01-20,468116,ok
2025-01-21,567197,ok
2025-01-22,564578,ok
2025-01-23,466397,ok
2025-01-24,451023,ok
2025-01-25,351595,ok
2025-01-26,205891,ok
2025-01-27,447276,ok
2025-01-28,448377,ok
2025-01-29,514094,ok
2025-01-30,295598,ok
2025-01-31,312609,ok
2025-02-01,345804,ok
2025-02-02,296982,ok
2025-02-03,428671,ok
2025-02-04,502432,ok
2025-02-05,484311,ok
2025-02-06,466679,ok
2025-02-07,652194,ok
2025-02-08,363650,ok
2025-02-09,308558,ok
2025-02-10,455853,ok
2025-02-11,435794,ok
2025-02-12,476430,ok
2025-02-13,468104,ok
2025-02-14,636611,ok
2025-02-15,366710,ok
2025-02-16,417533,ok
2025-02-17,479349,ok
2025-02-18,527538,ok
2025-02-19,516587,ok
2025-02-20,471644,ok
2025-02-21,511042,ok
2025-02-22,268485,ok
2025-02-23,254402,ok
2025-02-24,408363,ok
2025-02-25,496952,ok
2025-02-26,453390,ok
2025-02-27,420909,ok
2025-02-28,431047,ok
2025-03-01,233255,ok
2025-03-02,223165,ok
2025-03-03,623664,ok
2025-03-04,413211,ok
2025-03-05,528858,ok
2025-03-06,446999,ok
2025-03-07,440003,ok
2025-03-08,265494,ok
2025-03-09,282256,ok
2025-03-10,468744,ok
2025-03-11,433913,ok
2025-03-12,494414,ok
2025-03-13,450857,ok
2025-03-14,543993,ok
2025-03-15,327144,ok
2025-03-16,267048,ok
2025-03-17,494620,ok
2025-03-18,464626,ok
2025-03-19,78691,ok
2025-03-20,31630,ok
2025-03-21,348348,ok
2025-03-22,303802,ok
2025-03-23,246176,ok
2025-03-24,331941,ok
2025-03-25,355836,ok
2025-03-26,436275,ok
2025-03-27,395370,ok
2025-03-28,508768,ok
2025-03-29,298487,ok
2025-03-30,186465,ok
2025-03-31,386066,ok
2025-04-01,448279,ok
2025-04-02,508838,ok
2025-04-03,489383,ok
2025-04-04,653812,ok
2025-04-05,244187,ok
2025-04-06,273646,ok
2025-04-07,516940,ok
2025-04-08,392494,ok
2025-04-09,34203,ok
2025-04-10,321159,ok
2025-04-11,438276,ok
2025-04-12,323416,ok
2025-04-13,246353,ok
2025-04-14,373312,ok
2025-04-15,384570,ok
2025-04-16,365247,ok
2025-04-17,346136,ok
2025-04-18,246766,ok
2025-04-19,164561,ok
2025-04-20,174304,ok
2025-04-21,177665,ok
2025-04-22,359847,ok
2025-04-23,306265,ok
2025-04-24,416676,ok
2025-04-25,340745,ok
2025-04-26,246490,ok
