309 Münchner Stations-IDs geladen aus /Users/julianschuler/Desktop/S-Bahn/outputs/muenchen_bootstrap_kandidaten.csv
2025-01-01: 402,288 Münchner Zeilen
2025-01-02: 434,353 Münchner Zeilen
2025-01-03: 496,733 Münchner Zeilen
2025-01-04: 316,382 Münchner Zeilen
2025-01-05: 354,220 Münchner Zeilen
2025-01-06: 291,435 Münchner Zeilen
2025-01-07: 479,332 Münchner Zeilen
2025-01-08: 388,994 Münchner Zeilen
2025-01-09: 463,047 Münchner Zeilen
2025-01-10: 404,422 Münchner Zeilen
2025-01-11: 69,936 Münchner Zeilen
2025-01-12: 155,014 Münchner Zeilen
2025-01-13: 32,315 Münchner Zeilen
2025-01-14: 499,422 Münchner Zeilen
2025-01-15: 571,371 Münchner Zeilen
2025-01-16: 559,010 Münchner Zeilen
2025-01-17: 495,536 Münchner Zeilen
2025-01-18: 298,000 Münchner Zeilen
2025-01-19: 251,088 Münchner Zeilen
2025-01-20: 468,116 Münchner Zeilen
2025-01-21: 567,197 Münchner Zeilen
2025-01-22: 564,578 Münchner Zeilen
2025-01-23: 466,397 Münchner Zeilen
2025-01-24: 451,023 Münchner Zeilen
2025-01-25: 351,595 Münchner Zeilen
2025-01-26: 205,891 Münchner Zeilen
2025-01-27: 447,276 Münchner Zeilen
2025-01-28: 448,377 Münchner Zeilen
2025-01-29: 514,094 Münchner Zeilen
2025-01-30: 295,598 Münchner Zeilen
2025-01-31: 312,609 Münchner Zeilen
  -> 2025-01: 12,055,649 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-01.parquet (118.8 MB)
2025-02-01: 345,804 Münchner Zeilen
2025-02-02: 296,982 Münchner Zeilen
2025-02-03: 428,671 Münchner Zeilen
2025-02-04: 502,432 Münchner Zeilen
2025-02-05: 484,311 Münchner Zeilen
2025-02-06: 466,679 Münchner Zeilen
2025-02-07: 652,194 Münchner Zeilen
2025-02-08: 363,650 Münchner Zeilen
2025-02-09: 308,558 Münchner Zeilen
2025-02-10: 455,853 Münchner Zeilen
2025-02-11: 435,794 Münchner Zeilen
2025-02-12: 476,430 Münchner Zeilen
2025-02-13: 468,104 Münchner Zeilen
2025-02-14: 636,611 Münchner Zeilen
2025-02-15: 366,710 Münchner Zeilen
2025-02-16: 417,533 Münchner Zeilen
2025-02-17: 479,349 Münchner Zeilen
2025-02-18: 527,538 Münchner Zeilen
2025-02-19: 516,587 Münchner Zeilen
2025-02-20: 471,644 Münchner Zeilen
2025-02-21: 511,042 Münchner Zeilen
2025-02-22: 268,485 Münchner Zeilen
2025-02-23: 254,402 Münchner Zeilen
2025-02-24: 408,363 Münchner Zeilen
2025-02-25: 496,952 Münchner Zeilen
2025-02-26: 453,390 Münchner Zeilen
2025-02-27: 420,909 Münchner Zeilen
2025-02-28: 431,047 Münchner Zeilen
  -> 2025-02: 12,346,024 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-02.parquet (119.5 MB)
2025-03-01: 233,255 Münchner Zeilen
2025-03-02: 223,165 Münchner Zeilen
2025-03-03: 623,664 Münchner Zeilen
2025-03-04: 413,211 Münchner Zeilen
2025-03-05: 528,858 Münchner Zeilen
2025-03-06: 446,999 Münchner Zeilen
2025-03-07: 440,003 Münchner Zeilen
2025-03-08: 265,494 Münchner Zeilen
2025-03-09: 282,256 Münchner Zeilen
2025-03-10: 468,744 Münchner Zeilen
2025-03-11: 433,913 Münchner Zeilen
2025-03-12: 494,414 Münchner Zeilen
2025-03-13: 450,857 Münchner Zeilen
2025-03-14: 543,993 Münchner Zeilen
2025-03-15: 327,144 Münchner Zeilen
2025-03-16: 267,048 Münchner Zeilen
2025-03-17: 494,620 Münchner Zeilen
2025-03-18: 464,626 Münchner Zeilen
2025-03-19: 78,691 Münchner Zeilen
2025-03-20: 31,630 Münchner Zeilen
2025-03-21: 348,348 Münchner Zeilen
2025-03-22: 303,802 Münchner Zeilen
2025-03-23: 246,176 Münchner Zeilen
2025-03-24: 331,941 Münchner Zeilen
2025-03-25: 355,836 Münchner Zeilen
2025-03-26: 436,275 Münchner Zeilen
2025-03-27: 395,370 Münchner Zeilen
2025-03-28: 508,768 Münchner Zeilen
2025-03-29: 298,487 Münchner Zeilen
2025-03-30: 186,465 Münchner Zeilen
2025-03-31: 386,066 Münchner Zeilen
  -> 2025-03: 11,310,119 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-03.parquet (114.7 MB)
2025-04-01: 448,279 Münchner Zeilen
2025-04-02: 508,838 Münchner Zeilen
2025-04-03: 489,383 Münchner Zeilen
2025-04-04: 653,812 Münchner Zeilen
2025-04-05: 244,187 Münchner Zeilen
2025-04-06: 273,646 Münchner Zeilen
2025-04-07: 516,940 Münchner Zeilen
2025-04-08: 392,494 Münchner Zeilen
2025-04-09: 34,203 Münchner Zeilen
2025-04-10: 321,159 Münchner Zeilen
2025-04-11: 438,276 Münchner Zeilen
2025-04-12: 323,416 Münchner Zeilen
2025-04-13: 246,353 Münchner Zeilen
2025-04-14: 373,312 Münchner Zeilen
2025-04-15: 384,570 Münchner Zeilen
2025-04-16: 365,247 Münchner Zeilen
2025-04-17: 346,136 Münchner Zeilen
2025-04-18: 246,766 Münchner Zeilen
2025-04-19: 164,561 Münchner Zeilen
2025-04-20: 174,304 Münchner Zeilen
2025-04-21: 177,665 Münchner Zeilen
2025-04-22: 359,847 Münchner Zeilen
2025-04-23: 306,265 Münchner Zeilen
2025-04-24: 416,676 Münchner Zeilen
2025-04-25: 340,745 Münchner Zeilen
2025-04-26: 246,490 Münchner Zeilen
2025-04-27: 296,730 Münchner Zeilen
2025-04-28: 375,741 Münchner Zeilen
2025-04-29: 371,072 Münchner Zeilen
2025-04-30: 418,515 Münchner Zeilen
  -> 2025-04: 10,255,628 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-04.parquet (106.7 MB)
2025-05-01: 256,569 Münchner Zeilen
2025-05-02: 374,776 Münchner Zeilen
2025-05-03: 251,506 Münchner Zeilen
2025-05-04: 251,415 Münchner Zeilen
2025-05-05: 458,343 Münchner Zeilen
2025-05-06: 374,530 Münchner Zeilen
2025-05-07: 357,400 Münchner Zeilen
2025-05-08: 332,866 Münchner Zeilen
2025-05-09: 302,625 Münchner Zeilen
2025-05-10: 109,587 Münchner Zeilen
2025-05-11: 105,005 Münchner Zeilen
2025-05-12: 246,423 Münchner Zeilen
2025-05-13: 332,060 Münchner Zeilen
2025-05-14: 414,842 Münchner Zeilen
2025-05-15: 490,738 Münchner Zeilen
2025-05-16: 390,918 Münchner Zeilen
2025-05-17: 275,935 Münchner Zeilen
2025-05-18: 213,564 Münchner Zeilen
2025-05-19: 375,914 Münchner Zeilen
2025-05-20: 349,845 Münchner Zeilen
2025-05-21: 415,772 Münchner Zeilen
2025-05-22: 370,481 Münchner Zeilen
2025-05-23: 370,596 Münchner Zeilen
2025-05-24: 306,162 Münchner Zeilen
2025-05-25: 250,339 Münchner Zeilen
2025-05-26: 428,519 Münchner Zeilen
2025-05-27: 390,387 Münchner Zeilen
2025-05-28: 373,121 Münchner Zeilen
2025-05-29: 215,999 Münchner Zeilen
2025-05-30: 377,292 Münchner Zeilen
2025-05-31: 336,885 Münchner Zeilen
  -> 2025-05: 10,100,414 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-05.parquet (109.3 MB)
2025-06-01: 242,719 Münchner Zeilen
2025-06-02: 391,148 Münchner Zeilen
2025-06-03: 397,173 Münchner Zeilen
2025-06-04: 420,173 Münchner Zeilen
2025-06-05: 428,094 Münchner Zeilen
2025-06-06: 337,617 Münchner Zeilen
2025-06-07: 142,787 Münchner Zeilen
2025-06-08: 131,405 Münchner Zeilen
2025-06-09: 144,068 Münchner Zeilen
2025-06-10: 149,194 Münchner Zeilen
2025-06-11: 140,888 Münchner Zeilen
2025-06-12: 173,385 Münchner Zeilen
2025-06-13: 381,862 Münchner Zeilen
2025-06-14: 240,224 Münchner Zeilen
2025-06-15: 269,549 Münchner Zeilen
2025-06-16: 313,082 Münchner Zeilen
2025-06-17: 359,546 Münchner Zeilen
2025-06-18: 383,747 Münchner Zeilen
2025-06-19: 338,018 Münchner Zeilen
2025-06-20: 523,785 Münchner Zeilen
2025-06-21: 335,748 Münchner Zeilen
2025-06-22: 325,632 Münchner Zeilen
2025-06-23: 534,967 Münchner Zeilen
2025-06-24: 520,395 Münchner Zeilen
2025-06-25: 531,558 Münchner Zeilen
2025-06-26: 520,733 Münchner Zeilen
2025-06-27: 493,957 Münchner Zeilen
2025-06-28: 407,674 Münchner Zeilen
2025-06-29: 276,635 Münchner Zeilen
2025-06-30: 586,540 Münchner Zeilen
  -> 2025-06: 10,442,303 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-06.parquet (108.9 MB)
2025-07-01: 546,035 Münchner Zeilen
2025-07-02: 563,665 Münchner Zeilen
2025-07-03: 438,980 Münchner Zeilen
2025-07-04: 473,912 Münchner Zeilen
2025-07-05: 367,832 Münchner Zeilen
2025-07-06: 288,863 Münchner Zeilen
2025-07-07: 456,692 Münchner Zeilen
2025-07-08: 407,145 Münchner Zeilen
2025-07-09: 307,258 Münchner Zeilen
2025-07-10: 389,848 Münchner Zeilen
2025-07-11: 436,938 Münchner Zeilen
2025-07-12: 287,007 Münchner Zeilen
2025-07-13: 198,116 Münchner Zeilen
2025-07-14: 410,492 Münchner Zeilen
2025-07-15: 435,452 Münchner Zeilen
2025-07-16: 342,498 Münchner Zeilen
2025-07-17: 393,325 Münchner Zeilen
2025-07-18: 442,465 Münchner Zeilen
2025-07-19: 279,477 Münchner Zeilen
2025-07-20: 239,749 Münchner Zeilen
2025-07-21: 492,373 Münchner Zeilen
2025-07-22: 435,809 Münchner Zeilen
2025-07-23: 414,068 Münchner Zeilen
2025-07-24: 494,189 Münchner Zeilen
2025-07-25: 443,921 Münchner Zeilen
2025-07-26: 258,867 Münchner Zeilen
2025-07-27: 308,296 Münchner Zeilen
2025-07-28: 420,275 Münchner Zeilen
2025-07-29: 463,879 Münchner Zeilen
2025-07-30: 452,325 Münchner Zeilen
2025-07-31: 453,950 Münchner Zeilen
  -> 2025-07: 12,343,701 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-07.parquet (126.5 MB)
2025-08-01: 396,865 Münchner Zeilen
2025-08-02: 185,077 Münchner Zeilen
2025-08-03: 237,295 Münchner Zeilen
2025-08-04: 274,948 Münchner Zeilen
2025-08-05: 428,135 Münchner Zeilen
2025-08-06: 427,324 Münchner Zeilen
2025-08-07: 456,137 Münchner Zeilen
2025-08-08: 496,506 Münchner Zeilen
2025-08-09: 298,812 Münchner Zeilen
2025-08-10: 267,731 Münchner Zeilen
2025-08-11: 405,218 Münchner Zeilen
2025-08-12: 450,151 Münchner Zeilen
2025-08-13: 454,362 Münchner Zeilen
2025-08-14: 521,157 Münchner Zeilen
2025-08-15: 294,610 Münchner Zeilen
2025-08-16: 322,997 Münchner Zeilen
2025-08-17: 249,757 Münchner Zeilen
2025-08-18: 348,015 Münchner Zeilen
2025-08-19: 314,937 Münchner Zeilen
2025-08-20: 398,859 Münchner Zeilen
2025-08-21: 409,687 Münchner Zeilen
2025-08-22: 310,126 Münchner Zeilen
2025-08-23: 210,277 Münchner Zeilen
2025-08-24: 224,389 Münchner Zeilen
2025-08-25: 249,552 Münchner Zeilen
2025-08-26: 325,049 Münchner Zeilen
2025-08-27: 421,688 Münchner Zeilen
2025-08-28: 587,220 Münchner Zeilen
2025-08-29: 361,757 Münchner Zeilen
2025-08-30: 211,453 Münchner Zeilen
2025-08-31: 184,992 Münchner Zeilen
  -> 2025-08: 10,725,083 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-08.parquet (112.7 MB)
2025-09-01: 283,004 Münchner Zeilen
2025-09-02: 67,412 Münchner Zeilen
2025-09-03: 68,607 Münchner Zeilen
2025-09-04: 236,790 Münchner Zeilen
2025-09-05: 390,444 Münchner Zeilen
2025-09-06: 326,056 Münchner Zeilen
2025-09-07: 285,469 Münchner Zeilen
2025-09-08: 362,542 Münchner Zeilen
2025-09-09: 69,981 Münchner Zeilen
2025-09-10: 69,786 Münchner Zeilen
2025-09-11: 70,498 Münchner Zeilen
2025-09-12: 70,956 Münchner Zeilen
2025-09-13: 60,897 Münchner Zeilen
2025-09-14: 58,159 Münchner Zeilen
2025-09-15: 68,624 Münchner Zeilen
2025-09-16: 68,655 Münchner Zeilen
2025-09-17: 68,832 Münchner Zeilen
2025-09-18: 81,604 Münchner Zeilen
2025-09-19: 72,207 Münchner Zeilen
2025-09-20: 61,833 Münchner Zeilen
2025-09-21: 59,671 Münchner Zeilen
2025-09-22: 72,838 Münchner Zeilen
2025-09-23: 72,876 Münchner Zeilen
2025-09-24: 72,854 Münchner Zeilen
2025-09-25: 72,854 Münchner Zeilen
2025-09-26: 73,738 Münchner Zeilen
2025-09-27: 57,563 Münchner Zeilen
2025-09-28: 78,857 Münchner Zeilen
2025-09-29: 835,399 Münchner Zeilen
2025-09-30: 779,565 Münchner Zeilen
  -> 2025-09: 5,018,571 Zeilen geschrieben nach /Users/julianschuler/Desktop/S-Bahn/data/01_muenchen/2025-09.parquet (48.2 MB)
2025-10-01: 756,883 Münchner Zeilen
2025-10-02: 816,747 Münchner Zeilen
2025-10-03: 356,582 Münchner Zeilen
2025-10-04: 399,772 Münchner Zeilen
2025-10-05: 473,937 Münchner Zeilen
2025-10-06: 718,641 Münchner Zeilen
2025-10-07: 658,595 Münchner Zeilen
2025-10-08: 513,508 Münchner Zeilen
2025-10-09: 668,726 Münchner Zeilen
2025-10-10: 733,753 Münchner Zeilen
2025-10-11: 264,115 Münchner Zeilen
2025-10-12: 272,490 Münchner Zeilen
2025-10-13: 429,246 Münchner Zeilen
2025-10-14: 742,826 Münchner Zeilen
2025-10-15: 655,767 Münchner Zeilen
2025-10-16: 631,301 Münchner Zeilen
2025-10-17: 646,144 Münchner Zeilen
2025-10-18: 214,660 Münchner Zeilen
2025-10-19: 176,162 Münchner Zeilen
2025-10-20: 683,954 Münchner Zeilen
2025-10-21: 563,027 Münchner Zeilen
2025-10-22: 715,617 Münchner Zeilen
2025-10-23: 718,882 Münchner Zeilen
2025-10-24: 849,475 Münchner Zeilen
