minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high
-60,79.79106231269726,56.3912404254123,103.7357327270624
-55,73.573439667129,52.601645533014036,94.65009870796347
-50,79.15042436891275,56.32541390317259,101.34385319156927
-45,76.63710927408938,51.73197646732109,102.7202891220601
-40,87.1910465122845,63.691940947843236,113.80895138574982
-35,86.90900105223095,65.36079568131866,111.86851570550988
-30,86.86209866522367,62.69167495040574,112.48457870329183
-25,68.63618011803742,47.257327189349276,91.60765336455607
-20,86.83929315029314,58.75179637487768,115.3556519930856
-15,80.99966933614088,53.27701809866446,112.16091654413144
-10,83.0757940849571,55.17808269826893,112.98106395478618
-5,115.34410817357247,88.08197045586532,142.56044760530176
0,151.75924445988727,122.24126546730268,185.93003463321497
5,132.5552915108596,105.2617878524828,165.50953056130817
10,117.17862937148651,91.9401878156198,145.33262559883403
15,94.93798003524842,68.4576004793632,123.85259133349112
20,82.28976637801523,55.9252904347521,111.40571410274885
25,79.54179694256143,52.54023399060054,107.24111047856732
30,79.2508977384464,53.489553824071066,106.52529020606643
35,66.9841559791348,40.91364306586784,95.1903452940782
40,63.420977704212994,37.68511182279593,93.67506428474226
45,53.27094386137717,31.227661881541778,76.68919669017622
50,50.35129862448883,26.048912584950124,78.50886828603996
55,42.1026569674457,17.391037154056573,68.67867265352685
60,49.54984949966113,26.413503258375638,75.18635190043751
65,34.04401457431457,14.100876721181338,55.46665083917537
70,41.96247732426304,21.752957608877903,65.37924888045083
75,41.081072030489345,19.70191968508849,62.413432991177565
80,50.229222017220174,28.422332128210144,72.5008912546393
85,48.65114707794847,24.53606482107805,73.43477880625052
90,39.891534005752014,18.266151988391474,62.20082619255219
95,37.79489462696663,14.836239634829562,61.059313901537344
100,30.347400720972146,10.433824089255614,52.016572031675395
105,40.34480174831522,10.763588815497984,79.1710503056893
110,43.542028682818156,14.719800972590923,76.94268632310515
115,43.60811246847922,20.99806287268861,66.4263103190071
120,33.50270800301664,13.873539549963175,53.277710998888686
125,25.716702231903053,6.850627721906501,45.02401790414032
130,31.42455000376687,9.725781998417546,55.62307826566145
135,29.152682098765432,9.838938652759046,51.45766099835419
140,29.333132324580923,11.65716735923164,48.56690902785056
145,36.71982966849908,16.08857358638558,58.63464444150469
150,38.338362696607575,18.880884167224064,58.04733534599523
155,29.390192097854463,13.410918049895072,45.74174331130785
160,32.40620504474191,14.207408406066577,49.891910711126656
165,22.66874822237956,3.7197067457095168,42.27442929847841
170,34.884663173517225,13.44710081400774,58.319103622425445
175,36.63661992776716,15.443370794716545,58.843221583778984
180,29.608639245171748,6.798799886874866,53.155330356862116
185,35.30709361715142,12.63800703127351,59.31399169999145
190,28.56246750466404,6.532967418307354,51.87910473485583
195,36.578884871944695,15.336735491372371,57.649870731004384
200,41.70817234692571,18.50764134957891,66.03651756388001
205,35.480071977290976,14.465162503890449,57.345563280804804
210,39.534309781011174,14.229516183937266,67.29076590776378
215,38.02067416538457,12.673309958422344,64.28329271497101
220,39.33485179149026,17.288712587376548,61.6461548240101
225,39.081835896853775,17.956613239548386,61.57330177773779
230,35.90291665108043,14.91659669114602,58.4974303389614
235,41.87784528942898,17.55584734890157,69.81929579181188
240,31.761237167064905,6.925340865749206,60.727227741239744
