minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high
-60,-0.867870133006619,-24.267692020291584,23.076800281358516
-55,-7.0854927785748885,-28.057286912689854,13.991166262259597
-50,-1.5085080767911307,-24.333518542531294,20.684920745865398
-45,-4.0218231716145,-28.926955978382793,22.061356676356212
-40,6.532114066580618,-16.966991497860654,33.15001894004594
-35,6.250068606527066,-15.29813676438522,31.209583259805996
-30,6.203166219519787,-17.967257495298142,31.825646257587962
-25,-12.022752327666467,-33.4016052563546,10.948720918852203
-20,6.180360704589262,-21.907136070826205,34.69671954738172
-15,0.3407368904370003,-27.38191434703942,31.501984098427556
-10,2.416861639253213,-25.480849747434952,32.3221315090823
-5,34.6851757278686,7.423038010161434,61.90151515959788
0,71.10031201418339,41.5823330215988,105.27110218751109
5,51.89635906515572,24.602855406778914,84.85059811560428
10,36.51969692578264,11.281255369915911,64.67369315313015
15,14.279047589544533,-12.201331966340689,43.19365888778724
20,1.6308339323113472,-24.733642010951783,30.746781657044963
25,-1.1171355031424497,-28.118698455103342,26.58217803286344
30,-1.4080347072574853,-27.169378621632816,25.86635776036256
35,-13.674776466569085,-39.745289379836045,14.531412848374316
40,-17.23795474149089,-42.97382062290795,13.01613183903838
45,-27.387988584326713,-49.431270564162105,-3.9697357555276653
50,-30.307633821215056,-54.61001986075376,-2.150064159663927
55,-38.556275478258186,-63.26789529164731,-11.980259792177037
60,-31.109082946042754,-54.24542918732824,-5.472580545266368
65,-46.61491787138931,-66.55805572452255,-25.19228160652851
70,-38.69645512144084,-58.905974836825976,-15.279683565253052
75,-39.57786041521454,-60.95701276061539,-18.245499454526318
80,-30.42971042848371,-52.23660031749374,-8.158041191064584
85,-32.00778536775541,-56.12286762462583,-7.2241536394533625
90,-40.76739843995187,-62.39278045731241,-18.45810625315169
95,-42.86403781873725,-65.82269281087432,-19.59961854416654
100,-50.311531724731736,-70.22510835644827,-28.642360414028488
105,-40.31413069738866,-69.8953436302059,-1.4878821400145767
110,-37.11690376288572,-65.93913147311295,-3.716246122598733
115,-37.05081997722466,-59.660869573015276,-14.232622126696782
120,-47.15622444268724,-66.7853928957407,-27.381221446815196
125,-54.942230213800826,-73.80830472379738,-35.63491454156356
130,-49.234382441937015,-70.93315044728634,-25.035854180042435
135,-51.50625034693845,-70.81999379294484,-29.20127144734969
140,-51.32580012112296,-69.00176508647225,-32.09202341785332
145,-43.9391027772048,-64.5703588593183,-22.024288004199192
150,-42.32056974909631,-61.778048278479815,-22.611597099708654
155,-51.268740347849416,-67.24801439580881,-34.91718913439603
160,-48.25272740096197,-66.4515240396373,-30.767021734577227
165,-57.99018422332432,-76.93922569999437,-38.38450314722547
170,-45.77426927218666,-67.21183163169614,-22.339828823278438
175,-44.022312517936726,-65.21556165098734,-21.8157108619249
180,-51.05029320053214,-73.86013255882902,-27.503602088841774
185,-45.35183882855246,-68.02092541443037,-21.344940745712435
190,-52.09646494103984,-74.12596502739653,-28.779827710848053
195,-44.08004757375919,-65.32219695433152,-23.0090617146995
200,-38.950760098778176,-62.15129109612497,-14.622414881823872
205,-45.17886046841291,-66.19376994181343,-23.313369164899086
210,-41.12462266469271,-66.42941626176662,-13.368166537940098
215,-42.63825828031931,-67.98562248728155,-16.37563973073287
220,-41.324080654213624,-63.37021985832733,-19.012777621693786
225,-41.57709654885011,-62.702319206155494,-19.085630667966093
230,-44.75601579462345,-65.74233575455786,-22.161502106742482
235,-38.7810871562749,-63.10308509680232,-10.839636653892
240,-48.89769527863898,-73.73359157995468,-19.93170470446414
