minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high
-60,139.17287234042553,77.35537995409764,217.98902522139662
-55,140.75034598655594,80.48210379548645,213.5442624208836
-50,176.24245890527027,102.51498297094894,261.1166698802269
-45,173.13288690476188,87.64561530118553,271.0484284872022
-40,222.55599480021894,110.41417003435039,353.15908280206435
-35,195.20378837809633,111.37553680435458,294.7503640466168
-30,187.613742835097,87.72312210830246,299.4325797433425
-25,177.3252516453736,79.87575898062433,301.4539551161765
-20,229.26332024218624,109.899166534607,370.8071720942359
-15,256.8615791974067,123.58738198404362,415.75692823247283
-10,248.06749677491726,133.0982032483698,376.0838849132191
-5,261.2532111899133,144.08413737519697,398.5176511399222
0,235.20252109002112,159.71224993217976,322.4368958886311
5,279.5762360574861,180.99954518762863,385.41046687115596
10,288.03264657153545,200.8275139258782,377.30110741321016
15,224.39758883945737,145.62454612875038,311.1303169522503
20,208.83055828287786,132.76676978691648,289.00754698489555
25,260.93827011030396,163.99758259071683,366.0163819466761
30,206.41218240424723,141.59056919178778,285.7648628940379
35,191.70826094824466,120.53612451874976,271.5667964336526
40,168.27170339548982,103.12915516448125,243.78728699286575
45,132.79732804232802,75.44375695196008,202.44045623617546
50,141.39866220735786,57.850923857712104,256.2383810924714
55,98.6350160389359,34.125158206413474,167.1489784269067
60,114.52263683634374,67.99970524389315,164.15109119087677
65,87.45845170836697,45.98776349063834,133.80559534519912
70,112.15243500500974,34.580317471500365,206.37178838611342
75,84.29255486310856,49.17436939220056,120.35282583387381
80,115.33431270375715,73.67215740762445,163.60082752057832
85,99.20230264904177,54.97000622905989,146.04608134864205
90,100.59074517950356,46.07963766243468,160.11663972952454
95,73.3720008638376,32.1658046422514,115.45389007944505
100,62.07691402116402,14.585257436787359,107.50910736688219
105,41.7409641595154,-1.9700054880276157,88.19690656777574
110,57.03958831024049,16.33644925049705,104.95853450394212
115,75.10182376603609,23.520853202628864,125.39435691762719
120,77.65120029165965,23.382099750460334,132.83900523750486
125,52.178947869101975,0.20368453434053416,104.86315249591016
130,63.99939882929917,20.83120763762108,111.26474157334921
135,62.9265991667985,6.697015571900248,120.44817325014306
140,55.44132425545469,5.8574740246148105,113.76459752663544
145,55.140798351861065,13.235317425310432,100.10940090459339
150,59.05513530643739,14.143398303408977,108.48642276798553
155,43.069855647573036,3.6349829633607835,85.44967842238243
160,57.44585759963458,14.393654083236951,102.51308046727016
165,28.452281746031748,-19.952049281278597,80.67207912293519
170,50.44522707231041,-3.7031567653890805,110.23823066448803
175,44.71174248622702,-18.236283197958002,119.75878334808021
180,32.931553797989785,-24.120656776767795,103.89007829100603
185,43.935296574770256,1.6130801537678066,93.96065357922917
190,19.181139693639693,-19.17452093305742,60.48837872540509
195,25.80210471703404,-12.120227621649752,63.35753611736903
200,62.24037373737374,20.968635836503058,105.47735382619072
205,58.106956197112986,18.92955633352632,96.31865048893535
210,49.46433918721153,1.2370612976148676,117.22193599249792
215,68.20307108350586,17.345335866809197,130.10846198827443
220,46.98780872156324,8.574730163328852,84.32620712779158
225,50.579342158042515,-2.561182398353901,107.760395891378
230,30.57782104069698,-6.598356409577695,68.6600209014071
235,61.41054584903505,12.317818418339558,121.65180849073586
240,51.786199911199915,10.700761911744424,94.37365504451603
