minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high
-60,74.43928629422784,49.165293454795275,99.96264622992834
-55,73.48454806642033,49.56875798186727,94.76124259452361
-50,75.2271653964782,50.24319058246669,98.18250368216556
-45,71.92476543209877,44.89223141181569,98.84488898874578
-40,81.57761343448547,55.37065561160465,110.69799371948795
-35,84.94997750032961,60.52784796908825,110.45719212957826
-30,81.6656370539498,58.48105439973989,105.75058287707772
-25,66.29706956355015,43.58248384460294,89.11395248475499
-20,84.58578506920728,56.419023323726336,115.36384777392641
-15,75.42882023296072,43.6429257817983,109.12643015808355
-10,81.53697747627916,54.174722500940604,112.84415752438073
-5,108.21613664317483,80.54310063930134,137.8210512240729
0,148.65364817907326,114.67957151004705,182.43629613256414
5,128.43731774697602,97.42654031683351,160.9614485005254
10,115.99507596371882,87.91871507576046,147.26101806526134
15,92.5573380546553,66.0876666005275,123.67401456450291
20,79.91603979963102,53.43246310854773,113.70392372691471
25,79.39526010165545,54.23300501431633,110.32077200237983
30,75.72496590896124,50.64802651311117,106.1269484766471
35,63.51009989691367,37.122673932009434,93.79296241952001
40,61.2712666724282,35.485941820973075,93.71819638057295
45,50.54685505793996,28.75119618755028,78.0370781960008
50,47.67823371093436,22.212407464785834,78.89054578096304
55,39.25115745610959,14.320828948418711,69.04864094405475
60,47.72433809408117,23.648161044841054,77.39632181961827
65,34.70724287124176,13.879908393206751,60.21836630787025
70,39.51840374395501,18.708110244678668,65.67824997206287
75,37.07843328559494,16.718176871207394,59.80281065244103
80,48.73641799934482,28.39381758885696,73.63222752234785
85,47.118556614150876,25.6144245739355,72.76327777381586
90,36.35752021730283,14.365917889245633,63.03455791037691
95,39.25515354580304,17.203649563567375,64.6687694645076
100,34.16500615279035,10.824957637767865,61.72459368631068
105,41.400853211828824,12.361250413805402,81.18557950857283
110,44.21671368041231,17.051730766457325,79.81452005914838
115,45.03071333487844,22.001929604251234,70.45037110947173
120,34.286015299655986,12.412307867467486,56.50951776803573
125,26.567747746127655,5.503443041191819,49.73738791306836
130,33.65074563109084,10.400074428797197,62.213091176205424
135,27.413684721848565,5.516596565209697,53.62555564569466
140,30.409982403490375,10.410932395639296,53.40803540880392
145,36.10088680797522,14.11976376382513,60.95505699245007
150,37.25006414731531,16.674446681625316,59.48360503643583
155,29.403493286845883,11.85541381513405,46.75057992307076
160,34.43796342817445,14.224732824064583,55.94321042329445
165,21.871817383263988,1.6556624759784195,41.462923332367104
170,37.35385913466858,15.069961954898538,59.78248671528865
175,36.688459779915604,13.871960267940134,59.74287838135575
180,28.03443979060862,3.7349546709862054,53.31132422731184
185,33.74371530297673,10.20718124884141,59.61510609683104
190,26.05282732252697,4.138794161226679,52.11601762896049
195,37.096332876467066,14.855336926203325,63.443848974141325
200,40.20389901862384,14.993830764406397,66.75828399299866
205,33.99432172136254,12.022156988825003,57.823590672065166
210,36.17370510426393,11.765845998798723,65.01296123185777
215,35.58783206846234,13.355295782680443,61.92267147284725
220,39.67117639221956,17.83691108827793,66.36866456317497
225,38.84805710577962,17.414718023218676,62.620030020048084
230,32.53162373665367,10.414140050724306,56.65330840635911
235,42.206724355079615,16.297097358229887,72.73677516670624
240,28.099190859442366,1.9066397778387953,60.62090864894284
