minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high
-60,321.8075928287982,247.58234411010488,384.20508161839916
-55,314.5400846797052,247.5066478975834,371.0813834079286
-50,310.1830979133226,249.338346665414,370.0448845966068
-45,321.9848852829922,252.11576679745139,378.2751268930799
-40,288.3015821702244,222.67517362578045,336.5856174575994
-35,290.9622529784,222.5738515802154,350.7288822458708
-30,325.1550347222223,264.5259583181066,379.65923837032693
-25,277.3117273791237,222.27274886715904,326.8166248672041
-20,294.4486704494882,217.24773861839302,361.3248901454069
-15,312.0291253113267,248.56432431370297,379.88015893598106
-10,259.8683871311388,209.4976124094203,309.2160091118453
-5,318.5560275505209,259.35469716933795,379.69613139560875
0,367.3374572051042,296.82668347013043,437.1169867490375
5,327.89588425340634,254.36217489801987,410.2093399542788
10,277.20216243619325,203.81322319035877,359.9994790513719
15,288.00275025744827,213.57540068535891,369.4425336294234
20,269.5974265373579,187.8133731358974,358.27297114565533
25,281.17818810063704,211.98192039593735,353.93198626766804
30,242.81329757544043,174.7516093528727,308.8311467014489
35,280.8143254852052,195.67589563162466,375.94173886997726
40,255.70362863680944,167.6683985261447,357.1547708214599
45,246.72957354985007,174.66574046538082,316.3970335990935
50,219.7946423989149,161.46143918484086,275.9058187608377
55,231.26833065810592,170.5477907136234,295.9934068283333
60,237.36060052312874,180.8625304877425,295.61748055674633
65,219.782816452216,162.92911315891357,268.93139906554023
70,218.52411406423036,164.61968776343778,272.1588424118097
75,224.07186318972035,169.93176592468586,282.73888953508407
80,212.27990362811792,162.71727230590716,267.67705825283804
85,223.76038344514092,163.82025966423643,283.07157576291763
90,218.51535557765254,147.1433595127411,286.01765783945154
95,209.31709318648092,140.75641145261696,271.9976142492689
100,207.58579978439462,158.43042227559053,256.9141832861434
105,198.11792615596963,142.02005384817693,255.49117043206195
110,218.10801979227907,169.34345923864197,263.3333654283267
115,224.3877918956044,165.70323319526736,273.5919722811691
120,198.33639813530593,127.9680056585866,268.776083471224
125,203.0018662580544,138.29473266877153,260.13184967869927
130,207.32337555711942,152.11315974069817,262.47665573831864
135,178.4976986116084,126.62662503716247,225.63173874512174
140,188.27103375020042,141.38531373517787,239.06556711166792
145,229.9968313791178,176.57624584148988,276.75386526602745
150,232.46295609152756,157.57735573042774,302.6942443233487
155,223.71359505634314,156.63704657214325,287.5387421901442
160,217.5493736483454,152.0440062127459,282.6012788543601
165,201.7650655795817,128.01622398177287,271.0655776075855
170,207.44364877418312,142.3847042472025,276.04828921188613
175,205.93774710928759,137.46577141982092,270.4890252866398
180,210.21780885193584,147.6227562845362,273.68975592251627
185,194.4322885005066,134.19733854328038,262.99464518467
190,220.23328853046596,159.28645338617,290.3471560635187
195,205.19606411862992,140.59001693815998,272.6273799091878
200,186.725425760582,135.37084502313425,244.4487809651374
205,187.40690391983497,130.87740132470276,242.6761699120922
210,198.9997053383232,133.9393492839171,264.3766418485688
215,210.14180105820105,146.45641332712685,273.7357806286685
220,228.1171847442681,169.18237173805463,288.65496826349136
225,227.91378299747572,170.81495021517998,289.1162668286395
230,209.02732759770572,158.69216734651056,265.93717687933685
235,235.67242008223906,166.82162061951877,326.8687888552613
240,242.76603129380908,159.9497841698598,342.77582470849376
