minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high,n_ereignisse
-60,58.5650752170787,3.457105165841724,124.9693539952091,287
-55,94.06800118623961,9.028916836627083,235.82478494289583,281
-50,62.017963816350914,7.3376805072273905,128.03821055227303,279
-45,67.22394767783655,-0.32564216833725934,150.4641739555174,270
-40,58.89672133422133,-6.73033098845599,143.5058895544558,286
-35,59.970048125633234,-3.501706692161953,135.52576502179102,282
-30,63.27652851263962,10.244032386946486,128.3897225169529,297
-25,53.999912131519274,3.1254734530005406,110.41277798636048,280
-20,42.989210600907036,-6.9575194819658766,113.57643272552725,280
-15,50.346119929453266,9.594889182798546,102.16472577347322,270
-10,21.677274930328363,-17.644908575976178,73.46385969906534,262
-5,20.074300559552356,-20.473708168751372,73.27251674230787,278
0,27.862613179074444,-16.960223685058587,82.78007138892175,284
5,33.020744988993165,-34.5018575527495,144.95464355957418,274
10,151.92292549285435,0.7316529803859031,399.04052519653396,281
15,181.8051209372638,14.7155481973263,459.36910549491114,294
20,197.88167375283447,13.667941435070295,501.5212431361433,280
25,100.94272627490712,7.489159174669194,258.18505701251115,282
30,65.59595295398545,-4.44397444580827,153.80742966927315,277
35,169.41481388329981,14.898568110747707,397.6812057732114,284
40,81.45861278783815,-9.830592858614297,202.2780686169034,284
45,72.81141581632654,11.64433538191247,147.0032951470551,280
50,118.71680689819787,28.34615551069278,241.8502828293565,266
55,119.11885777092613,38.78881714954379,206.43628736536473,278
60,87.75005125051251,17.763455519022465,169.42135439454134,271
65,62.02523631175318,-2.705308118242798,127.71624852060707,267
70,69.73997865560365,4.052960065266929,143.58784810080243,264
75,70.51312245716578,-3.1119815795592682,167.44437728779815,277
80,52.58796544933763,-13.188853028102622,154.69317787877307,266
85,59.22393882646691,-2.906365085072451,153.27023916337367,267
90,26.15648547469302,-31.563101604744467,102.7100554537558,265
95,39.87856244384546,-11.234552207503643,109.77805851142007,265
100,71.41093638948117,-16.774732232430956,206.70294214690642,268
105,61.52830783336198,2.151338114890454,147.13090419242127,277
110,-10.77028714107366,-48.848928912463585,31.223686894363052,267
115,-8.665432267054406,-42.785806089659914,33.79709415635889,262
120,12.091129426129426,-31.775021152090897,70.22988704783246,260
