column,type,null_share,distinct,min,median,max
platform_id_schedule,BIGINT,0.0,15725.0,-9.222220709392906e+18,-4.073959311743768e+16,9.222935984987559e+18
stop_sequence,USMALLINT,0.0,62.0,1.0,10.0,62.0
time_schedule,TIMESTAMP WITH TIME ZONE,0.0,1960.0,,,
distance_traveled,INTEGER,0.0,37580.0,0.0,42698.0,1968286.0
trip_id,BIGINT,0.0,37215.0,-9.221114027897114e+18,2.9403093280421724e+16,9.22161622837922e+18
trip_headsign,BIGINT,0.0,1446.0,116319.0,8002156.0,8800586.0
update_timestamp,TIMESTAMP WITH TIME ZONE,0.0145,1864923.0,,,
platform_id_real,BIGINT,0.0,16862.0,-9.222220709392906e+18,-6960789238607546.0,9.222935984987559e+18
time_real,TIMESTAMP WITH TIME ZONE,0.0,2119.0,,,
is_cancelled,BOOLEAN,0.0,2.0,,,
message_codes,SMALLINT[],0.6905,,,,
is_betriebshalt,BOOLEAN,0.0,2.0,,,
pickup_drop_off_type,VARCHAR,0.0,2.0,,,
lat,DOUBLE,0.0,8420.0,41.378914,50.809517,59.330014
lon,DOUBLE,0.0,8417.0,1.453939,9.817779,26.074412
stop_id,BIGINT,0.0,8428.0,100393.0,8004132.0,8842051.0
operator,VARCHAR,0.0,293.0,,,
category,VARCHAR,0.0,75.0,,,
number,VARCHAR,0.0,32653.0,,,
line,VARCHAR,0.0,2558.0,,,
is_regional,BOOLEAN,0.0,2.0,,,
is_final,BOOLEAN,0.0,2.0,,,
dwell_time_schedule,INTEGER,0.0575,63.0,0.0,60.0,8700.0
dwell_time_real,INTEGER,0.0776,182.0,-3600.0,60.0,87360.0
is_arrival,BOOLEAN,0.0,2.0,,,
initial_scheduled_departure,TIMESTAMP WITH TIME ZONE,0.0019,1439.0,,,
initial_stop_id,BIGINT,0.0019,1414.0,116319.0,8002078.0,8800586.0
delay,INTEGER,0.0,247.0,-87180.0,60.0,22860.0
