stop_id,lat,lon,n_rows,n_trips,name,confidence
8004128,48.142623000001045,11.536536999999957,15250,1047,München Donnersbergerbrücke,"hoch: 115 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8004132,48.13945200000143,11.56561900000043,14322,933,München Karlsplatz (Stachus),"hoch: 35 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8098263,48.14117200000157,11.56049300000041,14230,933,München Hauptbahnhof (tief),"mittel: 221 m von Wikipedia-Koordinate (grösserer Versatz, aber Position in Trip-Reihenfolge stimmt überein)"
8004135,48.13704799999964,11.575386000000321,14136,933,München Marienplatz,"hoch: 21 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8004129,48.1419689999994,11.548571999999785,14088,933,München Hackerbrücke,"hoch: 4 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8004151,48.1443710000008,11.503669000000047,14062,933,München-Laim,"hoch: 26 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8004179,48.14353999999978,11.519244999999845,14044,933,München Hirschgarten,"hoch: 91 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8004131,48.13420200000076,11.58323400000005,14018,933,München Isartor,"mittel: 152 m von Wikipedia-Koordinate (grösserer Versatz, aber Position in Trip-Reihenfolge stimmt überein)"
8004136,48.129167999999574,11.593048999999615,13862,933,München Rosenheimer Platz,"mittel: Position via reale Trip-Reihenfolge bestätigt, aber KEIN externer Koordinatenbeleg gefunden (Name daher nicht unabhängig verifiziert)"
8000262,48.12743999999835,11.604971000000283,13794,937,München Ost,"hoch: 58 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8004158,48.14985200000006,11.461871999999895,8279,608,München-Pasing,"hoch: 39 m von Wikipedia-Koordinate, Position in Trip-Reihenfolge stimmt überein"
8004134,48.1342500000001,11.615986000000017,8216,661,München Leuchtenbergring,"mittel: Position via reale Trip-Reihenfolge bestätigt, aber KEIN externer Koordinatenbeleg gefunden (Name daher nicht unabhängig verifiziert)"
8004142,48.13400099999955,11.633294999999896,5670,333,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004163,48.14902599999955,11.443940000000087,3728,232,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004138,48.11854300000016,11.595785000000047,3406,230,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004148,48.1108029999997,11.596345999999992,3308,230,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004162,48.12606600000021,11.663375000000054,2857,212,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004145,48.19781099999983,11.525923999999987,2672,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004167,48.35209500000002,11.764185,2666,247,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001647,48.30299200000028,11.616753999999988,2660,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004155,48.18025800000021,11.506237000000008,2656,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004147,48.21381300000003,11.541318000000002,2574,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006688,48.27369999999998,11.568627999999993,2572,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004580,48.25722599999997,11.557830000000022,2540,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004279,48.32130999999981,11.660680999999988,2514,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003735,48.28793699999984,11.580812999999996,2462,198,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002339,48.119774000000056,11.425571000000046,2108,115,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001702,48.17932400000013,11.328277000000034,2070,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001682,48.08234799999992,11.864290999999989,2066,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003720,48.12824700000006,11.430890000000042,2052,115,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006059,48.10410899999991,11.764380000000028,2040,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002383,48.11840099999987,11.69861899999995,2038,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004893,48.17217899999987,11.353060999999965,2026,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003290,48.070886000000044,11.886949000000019,2020,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004827,48.10530300000013,11.413555999999975,2016,115,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005735,48.09325800000014,11.40084499999999,1998,115,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002491,48.11126499999976,11.731299999999965,1996,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004133,48.15453800000005,11.428523999999962,1980,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004141,48.155967999999795,11.413309000000021,1974,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002198,48.070658000000044,11.376146000000023,1968,115,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006671,48.089395000000174,11.833004000000034,1966,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000785,48.09925600000003,11.786779999999963,1946,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002141,48.17179000000017,11.262180000000008,1920,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004140,48.18993200000005,11.468036000000009,1836,127,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005676,47.995933999999956,11.343469999999984,1832,115,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004667,48.20999499999996,11.335602000000051,1830,122,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004153,48.17650499999999,11.407894999999998,1828,122,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005675,48.00597500000003,11.347385999999968,1828,115,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004152,48.16311200000014,11.432508000000006,1822,122,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004150,48.21117899999992,11.45956800000001,1806,127,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001970,47.9469379999999,11.290224000000002,1798,105,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001996,48.21219600000019,11.317322000000011,1782,122,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002377,48.194918999999786,11.374107000000041,1780,122,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004139,48.1776730000001,11.472792000000025,1766,127,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004157,48.16422299999993,11.478117000000053,1756,127,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002247,48.21276500000017,11.300377999999965,1732,122,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004874,47.96196,11.306475000000006,1712,105,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001973,48.151846000000006,11.732103000000022,1706,121,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004146,48.09274600000004,11.60600900000003,1706,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002715,48.15875500000016,11.759659000000026,1702,121,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004160,48.14398299999994,11.67804900000004,1684,121,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001354,48.254651999999844,11.44426,1662,128,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002940,48.046965999999905,11.698453999999998,1658,113,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002347,48.043225999999834,11.940423000000008,1646,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006131,48.03356700000016,11.712731000000026,1596,113,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004149,48.16763800000005,11.646057999999993,1594,133,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
