episode_id,t_start,t_end,n_stationen,n_fahrten,dauer_min
0,2025-01-01 05:39:52.217505,2025-01-01 05:53:53.870494,11,2,14.027549816666667
1,2025-01-01 07:59:50.879303,2025-01-01 07:59:50.879303,1,1,0.0
2,2025-01-01 08:25:51.471959,2025-01-01 08:25:52.230072,1,2,0.012635216666666668
3,2025-01-01 08:43:51.514012,2025-01-01 08:43:51.514012,1,1,0.0
4,2025-01-01 09:33:33.451665,2025-01-01 09:35:52.601947,11,2,2.3191713666666667
5,2025-01-01 09:57:53.194207,2025-01-01 09:57:53.194207,1,1,0.0
6,2025-01-01 10:17:34.902411,2025-01-01 10:33:55.214016,12,49,16.33852675
7,2025-01-01 11:11:55.098460,2025-01-01 11:23:55.267267,6,1,12.00281345
8,2025-01-01 12:17:34.248619,2025-01-01 12:57:55.126489,12,10,40.347964499999996
9,2025-01-01 13:21:33.548280,2025-01-01 13:21:56.132404,6,3,0.37640206666666665
10,2025-01-01 13:37:52.766155,2025-01-01 13:55:33.471275,11,1,17.67841866666667
11,2025-01-01 15:43:51.670871,2025-01-01 15:43:51.670871,1,1,0.0
12,2025-01-01 15:59:52.144292,2025-01-01 15:59:52.144292,1,1,0.0
13,2025-01-01 19:57:51.874516,2025-01-01 20:27:55.604984,12,9,30.062174466666665
14,2025-01-02 05:03:54.155675,2025-01-02 05:03:54.155675,1,1,0.0
15,2025-01-02 06:05:52.620162,2025-01-02 06:59:56.005948,11,3,54.05642976666666
16,2025-01-02 08:17:52.264896,2025-01-02 09:29:54.023344,11,3,72.02930746666667
17,2025-01-02 11:09:55.001132,2025-01-02 12:33:55.481942,12,10,84.0080135
18,2025-01-02 12:53:55.236560,2025-01-02 13:05:53.159953,8,1,11.965389883333334
19,2025-01-02 14:09:55.765873,2025-01-02 14:47:55.008265,11,2,37.9873732
20,2025-01-02 15:27:50.998588,2025-01-02 16:25:33.775089,10,2,57.712941683333334
21,2025-01-02 16:43:51.346820,2025-01-02 17:29:54.735808,11,2,46.05648313333334
22,2025-01-02 18:45:52.476943,2025-01-02 19:03:53.804668,11,1,18.02212875
23,2025-01-02 19:39:51.760172,2025-01-02 20:33:33.533375,12,4,53.69622005
24,2025-01-03 03:19:52.972126,2025-01-03 03:27:52.490204,5,1,7.9919679666666665
25,2025-01-03 05:35:33.565240,2025-01-03 05:53:53.957229,11,1,18.33986648333333
26,2025-01-03 06:15:55.429263,2025-01-03 06:15:55.502488,2,1,0.0012204166666666667
27,2025-01-03 06:51:56.060172,2025-01-03 06:51:56.131446,2,1,0.0011879
28,2025-01-03 09:23:54.246414,2025-01-03 09:41:54.542957,10,1,18.004942383333333
29,2025-01-03 11:19:54.210132,2025-01-03 11:19:54.210132,1,1,0.0
30,2025-01-03 11:35:33.581657,2025-01-03 12:33:55.498931,12,3,58.3652879
31,2025-01-03 14:13:54.867255,2025-01-03 14:21:55.544492,4,1,8.011287283333333
32,2025-01-03 15:29:56.067425,2025-01-03 16:11:34.148261,12,6,41.6346806
33,2025-01-03 17:17:34.288462,2025-01-03 17:17:58.149023,12,5,0.3976760166666667
34,2025-01-03 17:55:51.682017,2025-01-03 19:01:33.632351,12,16,65.69917223333333
35,2025-01-03 19:53:53.349248,2025-01-03 20:55:34.066218,12,7,61.678616166666664
36,2025-01-03 21:17:34.222777,2025-01-03 21:17:56.733327,10,1,0.3751758333333333
37,2025-01-03 21:39:33.663232,2025-01-03 22:15:54.217244,12,2,36.342566866666665
38,2025-01-03 23:39:52.009391,2025-01-04 00:39:54.731929,11,2,60.045375633333336
39,2025-01-04 04:15:51.715400,2025-01-04 04:15:51.715400,1,1,0.0
40,2025-01-04 04:59:52.597366,2025-01-04 05:17:54.250024,11,2,18.0275443
41,2025-01-04 06:53:33.568887,2025-01-04 08:03:55.519563,11,5,70.3658446
42,2025-01-04 12:17:56.145270,2025-01-04 12:33:55.442382,11,1,15.9882852
43,2025-01-04 13:01:51.423872,2025-01-04 13:01:51.423872,1,1,0.0
44,2025-01-04 13:23:51.948380,2025-01-04 13:23:51.948380,1,1,0.0
45,2025-01-04 14:57:53.246224,2025-01-04 14:57:53.246224,1,1,0.0
46,2025-01-05 11:17:37.196689,2025-01-05 11:18:00.922102,12,1,0.39542355
47,2025-01-05 15:17:33.757792,2025-01-05 15:17:56.900195,11,1,0.38570671666666667
48,2025-01-05 15:37:53.035953,2025-01-05 15:37:53.035953,1,1,0.0
49,2025-01-05 15:53:33.685500,2025-01-05 16:53:55.110027,11,7,60.35707545
50,2025-01-05 17:37:56.376877,2025-01-05 19:45:55.362690,12,43,127.98309688333333
51,2025-01-05 20:33:55.282596,2025-01-05 21:05:33.670242,12,1,31.6397941
52,2025-01-06 10:15:51.770233,2025-01-06 10:15:54.721600,6,1,0.049189449999999996
53,2025-01-06 10:49:53.123545,2025-01-06 10:49:53.123545,1,1,0.0
54,2025-01-06 11:11:54.682259,2025-01-06 11:37:55.687532,12,3,26.016754549999998
55,2025-01-06 14:17:54.095317,2025-01-06 14:37:52.282893,10,13,19.969792933333334
56,2025-01-06 17:15:34.488953,2025-01-07 06:01:56.931714,12,328,766.3740460166666
57,2025-01-07 08:17:34.074067,2025-01-07 08:17:57.476193,11,5,0.3900354333333333
58,2025-01-07 08:59:51.673412,2025-01-07 10:13:55.109219,12,6,74.05726345
59,2025-01-07 11:21:33.844531,2025-01-07 11:21:56.177683,10,1,0.3722192
60,2025-01-07 12:49:54.691786,2025-01-07 12:49:56.391169,3,1,0.028323050000000002
61,2025-01-07 13:07:52.775352,2025-01-07 13:19:55.048380,7,1,12.0378838
62,2025-01-07 14:17:55.592606,2025-01-07 14:17:55.592606,1,1,0.0
63,2025-01-07 16:17:34.206428,2025-01-07 16:17:57.452400,12,1,0.38743286666666665
64,2025-01-07 16:43:34.047228,2025-01-07 16:53:51.904716,12,2,10.2976248
65,2025-01-07 17:25:52.456877,2025-01-07 17:25:52.456877,1,1,0.0
66,2025-01-07 17:51:55.805871,2025-01-07 18:05:52.746521,2,1,13.949010833333334
67,2025-01-07 20:01:52.377283,2025-01-07 20:55:55.440714,12,41,54.051057183333334
68,2025-01-07 21:13:51.832189,2025-01-07 21:27:55.842948,11,4,14.066845983333334
69,2025-01-07 23:57:52.422937,2025-01-07 23:57:55.559755,9,1,0.052280299999999995
70,2025-01-08 00:15:52.845283,2025-01-08 00:15:54.282540,5,2,0.023954283333333333
71,2025-01-08 09:03:34.271272,2025-01-08 09:07:33.883167,2,2,3.9935315833333336
72,2025-01-08 09:37:54.050420,2025-01-08 10:13:54.584881,12,3,36.008907683333334
73,2025-01-08 15:45:32.013098,2025-01-08 18:39:32.564694,12,40,174.00919326666664
74,2025-01-08 19:43:33.116077,2025-01-08 20:05:31.200373,11,1,21.9680716
75,2025-01-08 23:27:30.228636,2025-01-08 23:27:32.797188,8,1,0.0428092
76,2025-01-09 02:27:30.646399,2025-01-09 02:27:32.450881,2,1,0.0300747
77,2025-01-09 02:43:30.457149,2025-01-09 02:57:29.570156,9,1,13.985216783333334
78,2025-01-09 07:33:12.631076,2025-01-09 07:33:35.267484,10,1,0.37727346666666667
79,2025-01-09 08:01:33.750349,2025-01-09 08:45:32.954309,12,3,43.98673266666666
80,2025-01-09 09:05:32.848421,2025-01-09 09:29:11.362992,11,1,23.641909516666665
81,2025-01-09 10:03:28.765063,2025-01-09 10:03:33.587153,10,6,0.08036816666666667
82,2025-01-09 10:19:11.287242,2025-01-09 11:37:33.235453,12,5,78.36580351666666
83,2025-01-09 12:25:30.189355,2025-01-09 12:25:33.875830,9,1,0.06144125
84,2025-01-09 13:03:33.588714,2025-01-09 13:03:33.588714,1,1,0.0
85,2025-01-09 14:11:11.971717,2025-01-09 15:43:34.061537,12,6,92.36816366666667
86,2025-01-09 16:17:11.810000,2025-01-09 17:15:33.256440,12,10,58.35744066666667
87,2025-01-09 17:53:30.089069,2025-01-09 17:53:31.386983,3,1,0.0216319
88,2025-01-09 18:19:32.943023,2025-01-09 18:41:11.482498,11,1,21.642324583333334
89,2025-01-10 05:37:32.889093,2025-01-10 05:57:34.043794,11,1,20.019245016666666
90,2025-01-10 09:17:29.625074,2025-01-10 09:17:34.931312,11,1,0.0884373
91,2025-01-10 10:09:31.914600,2025-01-10 10:23:30.481422,11,2,13.9761137
92,2025-01-10 10:43:11.418998,2025-01-10 10:43:34.087879,10,2,0.3778146833333333
93,2025-01-10 14:14:24.837764,2025-01-10 14:20:20.166077,12,10,5.92213855
94,2025-01-10 14:49:31.836865,2025-01-10 15:09:11.227936,10,1,19.65651785
95,2025-01-10 15:57:31.777201,2025-01-10 16:21:33.135416,11,1,24.022636916666666
96,2025-01-10 19:11:31.691917,2025-01-10 19:35:11.262567,11,1,23.659510833333332
97,2025-01-10 20:23:32.148128,2025-01-10 20:39:32.985112,11,3,16.013949733333334
98,2025-01-10 21:31:28.864891,2025-01-10 21:31:32.819043,10,6,0.06590253333333333
99,2025-01-10 23:57:56.706367,2025-01-10 23:58:00.150630,3,2,0.05740438333333333
100,2025-01-11 07:21:27.486411,2025-01-11 07:21:27.486411,1,1,0.0
101,2025-01-11 07:56:01.489941,2025-01-11 07:56:01.489941,1,1,0.0
102,2025-01-11 08:45:58.337111,2025-01-11 08:45:58.337277,1,2,2.7666666666666667e-06
103,2025-01-11 09:09:59.233631,2025-01-11 09:09:59.233631,1,1,0.0
104,2025-01-11 09:31:59.488341,2025-01-11 09:31:59.488341,1,1,0.0
105,2025-01-11 11:39:59.577638,2025-01-11 11:39:59.577638,1,1,0.0
106,2025-01-11 20:55:38.961648,2025-01-11 20:55:38.961648,1,1,0.0
107,2025-01-11 23:41:59.982401,2025-01-11 23:51:56.702130,4,1,9.945328816666667
108,2025-01-12 00:13:59.775314,2025-01-12 00:13:59.775314,1,1,0.0
109,2025-01-12 07:11:39.229639,2025-01-12 07:11:39.229639,1,1,0.0
110,2025-01-12 10:11:39.032213,2025-01-12 10:11:39.032213,1,1,0.0
111,2025-01-12 13:41:57.563361,2025-01-12 13:51:57.392487,5,1,9.9971521
112,2025-01-12 19:18:04.097718,2025-01-12 19:18:08.353473,3,5,0.07092925
113,2025-01-12 20:15:57.030103,2025-01-12 20:16:00.375443,3,1,0.05575566666666667
114,2025-01-12 21:15:56.610257,2025-01-12 21:16:00.120383,3,1,0.0585021
115,2025-01-13 18:11:26.549608,2025-01-13 18:13:59.537272,12,7,2.5497944
116,2025-01-14 06:11:57.032345,2025-01-14 06:30:19.614421,10,3,18.37636793333333
117,2025-01-14 06:55:56.005251,2025-01-14 06:55:56.005251,1,1,0.0
118,2025-01-14 07:26:22.653143,2025-01-14 07:28:04.642191,11,5,1.6998174666666666
119,2025-01-14 07:54:22.306913,2025-01-14 07:54:22.306913,1,1,0.0
120,2025-01-14 08:10:40.827177,2025-01-14 08:10:40.827177,1,1,0.0
121,2025-01-14 08:33:53.006078,2025-01-14 08:55:56.676488,11,2,22.0611735
122,2025-01-14 11:01:57.826937,2025-01-14 11:16:40.785278,10,2,14.71597235
123,2025-01-14 11:33:05.092124,2025-01-14 11:33:05.092124,1,1,0.0
124,2025-01-14 11:51:54.806486,2025-01-14 12:24:19.643478,11,2,32.41394986666667
125,2025-01-14 12:41:55.412288,2025-01-14 12:58:58.058408,9,2,17.044102
126,2025-01-14 13:39:06.283228,2025-01-14 13:39:06.283228,1,1,0.0
127,2025-01-14 14:00:44.006315,2025-01-14 14:25:05.547354,12,1,24.359017316666666
128,2025-01-14 15:18:38.574364,2025-01-14 16:15:02.268515,12,3,56.39490251666667
129,2025-01-14 16:37:23.425108,2025-01-14 16:37:23.425108,1,1,0.0
130,2025-01-14 17:14:36.028102,2025-01-14 17:15:40.916202,10,1,1.0814683333333333
131,2025-01-14 17:31:38.616619,2025-01-14 17:31:38.616619,1,1,0.0
132,2025-01-14 17:48:39.208774,2025-01-14 17:48:39.208774,1,1,0.0
133,2025-01-14 20:16:22.354841,2025-01-14 20:17:54.210085,11,2,1.5309207333333332
134,2025-01-14 22:47:11.626176,2025-01-14 22:47:11.626176,1,1,0.0
135,2025-01-15 01:01:28.416214,2025-01-15 01:01:53.348514,2,1,0.41553833333333334
136,2025-01-15 04:53:58.072910,2025-01-15 04:56:18.165848,10,2,2.3348823
137,2025-01-15 05:15:34.310404,2025-01-15 05:17:32.378571,3,1,1.9678027833333334
138,2025-01-15 05:35:54.179527,2025-01-15 05:35:54.179527,1,1,0.0
139,2025-01-15 06:01:32.226457,2025-01-15 06:29:33.240196,12,2,28.01689565
140,2025-01-15 06:57:30.820822,2025-01-15 07:43:32.112646,12,2,46.021530399999996
141,2025-01-15 08:07:30.352082,2025-01-15 09:20:52.258663,12,3,73.36510968333333
142,2025-01-15 09:41:01.596277,2025-01-15 10:09:25.959802,12,4,28.40605875
143,2025-01-15 10:25:03.116195,2025-01-15 11:03:24.982152,12,5,38.36443261666667
144,2025-01-15 11:43:24.545526,2025-01-15 12:11:03.244274,12,1,27.644979133333333
145,2025-01-15 12:39:01.330482,2025-01-15 13:15:02.028704,12,2,36.011637033333336
146,2025-01-15 13:33:24.361267,2025-01-15 13:55:01.727768,11,1,21.622775016666665
147,2025-01-15 14:17:01.549476,2025-01-15 15:09:26.314505,12,3,52.41275048333333
148,2025-01-15 15:26:59.313271,2025-01-15 15:27:24.907792,9,1,0.42657535
149,2025-01-15 15:57:24.479998,2025-01-15 16:11:24.675437,7,2,14.003257316666666
150,2025-01-15 16:29:01.378419,2025-01-15 16:33:24.913924,4,1,4.3922584166666665
151,2025-01-15 17:31:00.225006,2025-01-15 18:19:09.283428,12,14,48.1509737
