hour,proportion
0,0.006041627758124557
1,0.002572950116680296
2,0.0023934419690049267
3,0.006839441747792866
4,0.017793065183216168
5,0.023698701920374536
6,0.03250548043814494
7,0.05151339874199239
8,0.04070120596837393
9,0.049743702255819054
10,0.08529538156360662
11,0.06558030995073498
12,0.048376539191705634
13,0.052860616456364105
14,0.06694022016039687
15,0.07842148875716899
16,0.04953336947672468
17,0.0618033859951007
18,0.04923600244421195
19,0.05215527636095281
20,0.06310164694192458
21,0.031961516354280184
22,0.03615185301365169
23,0.02477937723365252
