minute_relativ_t0,delay_mean_ereignis,delay_mean_kontrolle,differenz,differenz_aus_a_minus_b
-60,317.8894472361809,238.21599589576223,79.79106231269726,79.67345134041867
-55,313.60919540229884,237.86805413523436,73.573439667129,75.74114126706448
-50,316.8333333333333,235.61250160408275,79.15042436891275,81.22083172925056
-45,317.52096890817063,238.75058864283002,76.63710927408938,78.7703802653406
-40,330.94594594594594,242.15152706477056,87.1910465122845,88.79441888117537
-35,329.3839915373766,240.8329625212278,86.90900105223095,88.55102901614876
-30,328.33463449254793,242.07083462372253,86.86209866522367,86.2637998688254
-25,312.8533578845072,243.85361513829955,68.63618011803742,68.99974274620766
-20,333.6833393306945,247.0227184995285,86.83929315029314,86.66062083116597
-15,326.5224312590449,248.04642389710585,80.99966933614088,78.47600736193903
-10,324.73250728862973,241.98779337525463,83.0757940849571,82.74471391337511
-5,358.0652722683015,243.53847965117706,115.34410817357247,114.52679261712444
0,397.2156998957972,246.44407798332057,151.75924445988727,150.7716219124766
5,373.47083333333336,240.83522816844513,132.5552915108596,132.63560516488823
10,355.4691228070175,238.92600801781956,117.17862937148651,116.54311478919797
15,339.0406647807638,242.0285849595056,94.93798003524842,97.0120798212582
20,330.5435244161359,248.12384575569357,82.28976637801523,82.41967866044232
25,329.0790583274772,248.96832830367313,79.54179694256143,80.11073002380405
30,324.3217699115044,244.09716791330317,79.2508977384464,80.22460199820125
35,317.8566890222379,249.6197295123624,66.9841559791348,68.2369595098755
40,312.6960085531005,249.6149406676251,63.420977704212994,63.08106788547542
45,301.73699215965786,247.34522621646101,53.27094386137717,54.391765943196845
50,296.13115916341724,243.014065916901,50.35129862448883,53.11709324651625
55,286.8517316017316,246.6651933612951,42.1026569674457,40.186538240436505
60,294.878853046595,245.19657327703692,49.54984949966113,49.68227976955808
65,280.6284053759535,246.56012915110853,34.04401457431457,34.068276224844965
70,287.2545061283345,244.24110579759596,41.96247732426304,43.01340033073856
75,287.9341959334566,244.49981328776963,41.081072030489345,43.43438264568695
80,296.5129056047198,245.9590200847286,50.229222017220174,50.553885519991184
85,295.0711938663746,246.8528161082084,48.65114707794847,48.218377758166184
90,285.636694575901,245.8440276911347,39.891534005752014,39.792666884766305
95,289.8578233785269,251.49362727530647,37.79489462696663,38.36419610322045
100,288.10920379839297,252.27350102044383,30.347400720972146,35.83570277794914
105,290.4423997055576,251.31332034224792,40.34480174831522,39.12907936330967
110,289.60793593010555,247.43541988298833,43.542028682818156,42.17251604711723
115,291.58845163663113,249.1656313777738,43.60811246847922,42.42282025885734
120,285.6512495337561,247.7016909845878,33.50270800301664,37.94955854916827
125,275.9524517087667,250.56045189911973,25.716702231903053,25.39199980964699
130,280.7325327510917,245.75033031346712,31.42455000376687,34.98220243762458
135,276.6914539400666,248.61412648418948,29.152682098765432,28.07732745587711
140,284.30410447761193,252.92339271891996,29.333132324580923,31.380711758691973
145,285.6218644702359,249.46048287783583,36.71982966849908,36.16138159240006
150,287.6068181818182,246.62801400738186,38.338362696607575,40.978804174436334
155,277.23348519362185,249.79189781114144,29.390192097854463,27.441587382480407
160,288.84164110429447,260.68331562920474,32.40620504474191,28.158325475089725
165,273.96688237533306,250.830454381582,22.66874822237956,23.136427993751056
170,284.920424403183,251.1824615642987,34.884663173517225,33.7379628388843
175,284.83815689261235,247.88679975736818,36.63661992776716,36.951357135244166
180,275.18402777777777,249.95691100121707,29.608639245171748,25.227116776560706
185,278.4300538047656,246.67995122301124,35.30709361715142,31.750102581754334
190,271.1303846153846,241.86773919895688,28.56246750466404,29.262645416427745
195,277.4244741873805,242.27778932225064,36.578884871944695,35.146684865129856
200,289.70930677901185,247.0915347301587,41.70817234692571,42.61777204885314
205,283.8443504996157,245.64367795767538,35.480071977290976,38.20067254194032
210,287.4555598307041,256.80887554065515,39.534309781011174,30.64668429004894
215,285.5139489194499,259.1860326038921,38.02067416538457,26.327916315557786
220,289.33019976498235,258.52092998585573,39.33485179149026,30.809269779126623
225,285.470332278481,250.42587884494662,39.081835896853775,35.044453433534386
230,279.8876712328767,242.7068636243386,35.90291665108043,37.18080760853809
235,287.1329434697856,243.5392013674727,41.87784528942898,43.59374210231286
240,274.84560850728633,243.25358768975752,31.761237167064905,31.592020817528805
