minute_relativ_t0,n_ereignis,n_kontrolle,n_diff,std_ereignis,std_kontrolle,std_diff,mean_diff
-60,2786,3210,2786,322.76978024778344,127.68615020089382,314.71406702067264,79.79106231269726
-55,2784,3213,2781,295.46672690278797,124.15414080169856,291.3603730469312,73.573439667129
-50,2796,3216,2795,314.0953505019091,121.29002524573197,308.972117930585,79.15042436891275
-45,2766,3219,2765,306.75667786615566,120.99578718098384,302.0882458554947,76.63710927408938
-40,2812,3228,2811,324.27613270127574,128.8486998086071,319.9291827761474,87.1910465122845
-35,2836,3234,2836,337.239935641689,121.40218351132243,336.895846148386,86.90900105223095
-30,2818,3229,2816,321.78346604528707,126.14937110749896,318.80976865465635,86.86209866522367
-25,2793,3232,2789,292.02297297459785,126.19430175102504,287.87136693899026,68.63618011803742
-20,2779,3232,2775,335.5776872963443,135.98901352525547,333.08256560625415,86.83929315029314
-15,2764,3226,2759,351.00687476795827,172.65760744811104,347.6899589285345,80.99966933614088
-10,2744,3226,2742,344.4577057757615,137.41438773937662,343.4414087977298,83.0757940849571
-5,2773,3229,2772,361.9057836551449,131.7455021229856,354.1090652652752,115.34410817357247
0,2879,3228,2878,390.5732761392901,141.1614459379184,388.35284471418225,151.75924445988727
5,2880,3222,2878,373.1532447405994,123.01688958415535,366.1580469969692,132.5552915108596
10,2850,3221,2849,359.3188418519065,127.52250172027735,352.4328203951393,117.17862937148651
15,2828,3226,2828,348.9117653421581,124.68942240342012,344.17831666759224,94.93798003524842
20,2826,3220,2821,337.8543997790874,139.91192432558196,335.92120413654436,82.28976637801523
25,2846,3219,2845,335.3252321586856,135.20523318985536,338.91142581887743,79.54179694256143
30,2825,3215,2825,319.737628425027,128.99995498644148,311.69202182967393,79.2508977384464
35,2833,3217,2833,321.05305181827845,133.26169889320383,318.39951146642784,66.9841559791348
40,2806,3213,2805,314.83786942939923,133.66832712893918,312.38400284954605,63.420977704212994
45,2806,3207,2804,275.1183675901329,135.2199939131594,274.8644886094196,53.27094386137717
50,2821,3201,2818,317.0645287875751,131.9373209487312,308.5093957179752,50.35129862448883
55,2772,3213,2769,273.13744176461137,147.1932402122468,269.27993085096136,42.1026569674457
60,2790,3203,2787,268.3695636230284,126.10142059106487,261.0482144406428,49.54984949966113
65,2753,3201,2750,250.0114218747644,128.00048566996966,246.6818721185615,34.04401457431457
70,2774,3190,2770,292.3257352539599,131.66989189062926,288.64837739586204,41.96247732426304
75,2705,3205,2703,249.16104221600187,130.589673593112,249.57095628404494,41.081072030489345
80,2712,3211,2710,285.3768413034016,135.58442603640395,280.99571554160104,50.229222017220174
85,2739,3199,2734,271.3409664193978,163.34478270985426,268.6307323502522,48.65114707794847
90,2747,3206,2743,271.8196441472739,138.29181137712524,263.3018690652055,39.891534005752014
95,2729,3189,2722,268.8560108282072,190.41024403803996,279.1446265907574,37.79489462696663
100,2738,3181,2730,346.90271719137957,137.80122211025653,241.9498589480882,30.347400720972146
105,2717,3189,2711,490.291503653759,170.5633667918686,477.8984390879255,40.34480174831522
110,2747,3177,2736,443.1029265043193,136.85266057714182,446.01203955307994,43.542028682818156
115,2719,3181,2713,377.6782156978651,145.1258482034298,375.814817951628,43.60811246847922
120,2681,3169,2673,374.5674196125336,143.63342906798945,275.0296744861459,33.50270800301664
125,2692,3179,2689,254.78422018081702,208.89026522748128,269.9293424251932,25.716702231903053
130,2748,3180,2739,285.29596994443364,149.833404997072,270.1458776556435,31.42455000376687
135,2703,3175,2700,277.3730774302337,142.99244638953056,269.7067942242491,29.152682098765432
140,2680,3158,2675,268.50639590445815,140.30156797046527,259.14467369157126,29.333132324580923
145,2671,3145,2668,277.1077293474291,179.03586559546758,269.1367943727258,36.71982966849908
150,2640,3148,2638,283.6564509115179,128.2766545067314,272.50096267747597,38.338362696607575
155,2634,3140,2633,249.09943791250785,147.7470224505094,240.34521332338667,29.390192097854463
160,2608,3138,2604,269.1655488221293,169.16411726512,260.1588437710271,32.40620504474191
165,2627,3126,2623,257.1878975928455,164.12511564144765,251.50178241797633,22.66874822237956
170,2639,3119,2631,282.2385760878853,163.28972945057944,272.19617285824853,34.884663173517225
175,2626,3114,2615,282.30632077445796,145.54219375775048,276.2860863269301,36.63661992776716
180,2592,3091,2584,266.83697917226976,155.2276235231795,266.0893952833593,29.608639245171748
185,2602,3098,2595,267.62233583278953,181.41532307033654,263.853570236789,35.30709361715142
190,2600,3092,2595,259.5853063659691,152.68535960605493,253.60772694287334,28.56246750466404
195,2615,3128,2608,259.58917047288156,178.47822808162627,265.63443450006065,36.578884871944695
200,2611,3125,2603,271.2430562091925,162.97634106129078,271.6953695213189,41.70817234692571
205,2602,3097,2589,258.40871985722845,135.6547648301661,255.35839521391415,35.480071977290976
210,2599,3068,2592,295.0006266985948,229.43187739423144,288.3826313323654,39.534309781011174
215,2545,3053,2538,268.000162626392,196.42328328890386,262.4675973994422,38.02067416538457
220,2553,3030,2542,265.9061462646471,207.64339766448091,257.7933372644328,39.33485179149026
225,2528,3009,2517,267.5593331302817,167.67494181117866,264.17402965646863,39.081835896853775
230,2555,3000,2546,264.7533158071315,169.182213162208,257.91010842732885,35.90291665108043
235,2565,3011,2551,286.8493802547359,163.38110054427423,278.0823301392231,41.87784528942898
240,2539,3026,2531,268.2509906098647,153.75646428767007,262.43642376291996,31.761237167064905
