lag_schritte_a_5min,lag_minuten,autokorrelation
0,0,0.9999999999999999
1,5,0.9357246818893381
2,10,0.8690668339441492
3,15,0.793673996042805
4,20,0.7427141310227613
5,25,0.6980337340386046
6,30,0.6692792341163155
7,35,0.6200447216570057
8,40,0.5720183180712374
9,45,0.5053881510285452
10,50,0.4506409854266394
11,55,0.39108166341808676
12,60,0.3405267529762984
13,65,0.2557157621667943
14,70,0.1938789746736771
15,75,0.14125835669861422
16,80,0.09219554226158479
17,85,0.028783094974678403
18,90,-0.03177854550238887
19,95,-0.10545936130775416
20,100,-0.13965321213653592
21,105,-0.17878605541943837
22,110,-0.20790534404841057
23,115,-0.25528931513353686
24,120,-0.3224529194364174
25,125,-0.38863303224588985
26,130,-0.4182165738033661
27,135,-0.44356863705197597
28,140,-0.4613298752967651
29,145,-0.4934433006008073
30,150,-0.5388836527512751
31,155,-0.6075211946508127
32,160,-0.6496189549689428
33,165,-0.6646909979635157
34,170,-0.6847182984032457
35,175,-0.7088884524525418
36,180,-0.7676862336841414
37,185,-0.7917249852621973
38,190,-0.8035379230031686
39,195,-0.823083525280395
40,200,-0.8323066368892277
41,205,-0.8463588278705819
42,210,-0.8751363666044678
43,215,-0.8863037334635023
44,220,-0.8983124623329691
45,225,-0.9195099062780542
46,230,-0.8992070137136889
47,235,-0.8539068351849004
48,240,-0.8071120780044746
49,245,-0.6697480379890913
50,250,-0.5849797517510648
51,255,-0.5488727325091513
52,260,-0.5574837117182422
53,265,-0.5328346906831263
54,270,-0.5766993179137516
55,275,-0.5625690236393727
56,280,-0.5493508496431253
57,285,-0.4942336821486732
58,290,-0.5366185597620202
59,295,-0.47656351359883004
60,300,-0.7241201481005635
