lag_schritte_a_5min,lag_minuten,autokorrelation_residuum
0,0,1.0
1,5,0.10515047560969434
2,10,-0.3483722593320757
3,15,-0.263450197525603
4,20,-0.1590127444155193
5,25,-0.07654224755480715
6,30,0.18035849759311182
7,35,0.1346796714873471
8,40,0.04955410659633941
9,45,-0.060643571227937794
10,50,-0.06312465567425504
11,55,-0.1182498062792483
12,60,0.0807967745187473
13,65,-0.028634470434878472
14,70,-0.08540195546802173
15,75,0.04323350974592192
16,80,0.17782941616383494
17,85,0.056784937312870744
18,90,0.02949655883024651
19,95,-0.2515131541882826
20,100,-0.09925948358679283
21,105,0.006920280453119936
22,110,0.1953725081608424
23,115,0.21644164863946205
24,120,-0.05557444131218134
25,125,-0.1909248425421091
26,130,-0.08743518842929299
27,135,-0.07915154623102963
28,140,-0.02868692786303846
29,145,0.23590969520817584
30,150,0.2920263437851605
31,155,-0.16641277826774656
32,160,-0.26404487274613997
33,165,-0.11550859999410577
34,170,0.112867439833022
35,175,0.25946397203648686
36,180,-0.09240542335327286
37,185,-0.1445637894026726
38,190,0.02756614892592926
39,195,-0.006031835586696614
40,200,0.10392458434932163
41,205,0.020875065151214015
42,210,-0.10829390453366257
43,215,0.09020353146322539
44,220,0.06362402846229583
45,225,-0.13669867981945036
46,230,-0.0037486953380349375
47,235,0.23609334748033034
48,240,-0.18680896671167044
49,245,-0.2146098375027596
50,250,0.11167128780212435
51,255,0.1407733021853192
52,260,-0.16803226355121678
53,265,0.16597219217802534
54,270,0.015826714683989853
55,275,-0.022865664566286376
56,280,-0.16175979062629764
57,285,0.14320642977258244
58,290,-0.15670627609082688
59,295,0.32005617680528115
60,300,-0.24534029742716926
