minute_relativ_t0,impulsantwort_delay_s,n_ereignisse_je_zeitpunkt,ci_low,ci_high
-60,75.19155390351764,3776,53.640351174835764,94.41461732753164
-55,67.29782391489611,3781,46.54754574372604,86.70864317901264
-50,73.1338312447786,3800,52.37682094010666,93.5074362050651
-45,67.34765358181001,3746,46.01292145778278,87.49285342065167
-40,78.36398296432426,3809,55.91832703187653,101.41351342439677
-35,78.2984515825318,3827,58.738357308892255,100.67626057335151
-30,82.51525996684987,3821,62.006811341830016,104.85179252876488
-25,66.72906417707848,3777,46.84358041231435,90.86354199753904
-20,82.99244666280136,3778,58.417598236770246,110.22179724224505
-15,79.22855148119854,3740,53.66708232472658,107.51348361736576
-10,87.51731331339042,3709,63.9341892881642,113.53739500241721
-5,118.34831050486756,3786,93.74043619813409,143.56175212623523
0,149.0449747963619,3911,120.22328487432708,178.27802854668744
5,128.5748246585456,3913,103.20637777430387,157.14835144441375
10,115.51395193399843,3871,90.15569300719731,141.5232844435281
15,95.41415739022882,3850,70.70762694172856,121.00501361414429
20,85.81068658106032,3853,59.37258515623209,113.60645916491194
25,84.8800500474588,3863,59.318720441569326,109.87860357613476
30,81.03810140956331,3858,56.31504231299664,105.74790201367165
35,68.60114852017196,3840,43.19658897999744,94.5286587895015
40,69.84009052123214,3806,44.33558142602516,96.52542349351907
45,55.23576951613979,3808,32.877788586121106,75.50756852563346
50,56.51104761077396,3837,31.18799460339733,82.73194743945703
55,46.73019898629623,3805,22.609349001213708,71.95470496859546
60,50.50320381219434,3804,26.74384757946086,75.34298004799977
