code,bedeutung,anteil_ereignisfenster,anteil_kontrollfenster,n_ereignisfenster,n_kontrollfenster
43,Verspätung eines vorausfahrenden Zuges,31.972948047955732,25.90064555794651,104008,842548
64,Defekt an einer Weiche,6.261912081155856,3.3787273286197355,20370,109910
48,Verspätung aus vorheriger Fahrt,5.173071011374116,3.4791269597294803,16828,113176
36,Technische Störung am Zug,4.418075622502306,2.945957577620658,14372,95832
3,Feuerwehreinsatz auf der Strecke,3.3433753458346143,1.7017214878573623,10876,55357
7,Unbefugte Personen auf der Strecke,3.306486320319705,2.217368582846603,10756,72131
38,Defekt an der Strecke,3.1822932677528435,3.1069166922840457,10352,101068
2,Polizeieinsatz,2.9237626806025205,1.9695050722410083,9511,64068
41,Defekt an einem Bahnübergang,2.333230863818014,1.5640946818321548,7590,50880
5,Ärztliche Versorgung eines Fahrgastes,2.309867814325238,1.8309560405779282,7514,59561
44,Warten auf einen entgegenkommenden Zug,1.7977251767599138,1.3158930218260068,5848,42806
40,Defektes Stellwerk,1.6394097755917614,1.02413157085767,5333,33315
45,Vorfahrt eines anderen Zuges,0.9658776513987088,0.666246541653858,3142,21673
23,Betriebsstabilisierung,0.8364586535505687,0.6247771288041808,2721,20324
42,Außerplanmäßige Geschwindigkeitsbeschränkung,0.8189363664309868,0.4183215493390716,2664,13608
8,Notarzteinsatz auf der Strecke,0.8164770980633261,0.5988318475253612,2656,19480
31,Bauarbeiten,0.7497694435905318,0.6479557331693822,2439,21078
55,Technischer Defekt an einem anderen Zug,0.6492468490624039,0.34589609591146636,2112,11252
33,Defekt an der Oberleitung,0.3378419920073778,0.7556409468183215,1099,24581
61,Defekte Tür,0.32892714417460805,0.17995696280356593,1070,5854
67,Behördliche Maßnahme,0.3046418690439594,0.29508146326467877,991,9599
28,Gegenstände auf der Strecke,0.29695665539502,0.47048877958807256,966,15305
25,Bereitstellung weiterer Wagen,0.2582231786043652,0.21549339071626192,840,7010
17,Beschädigung einer Brücke,0.22010451890562557,0.0708884106978174,716,2306
51,Verspätetes Personal aus vorheriger Fahrt,0.2185674761758377,0.10587150322778974,711,3444
57,Zusätzlicher Halt,0.21795265908392253,0.1724869351367968,709,5611
47,Verspätete Bereitstellung,0.16231171226560098,0.08964033200122963,528,2916
50,Kurzfristige Erkrankung von Personal,0.15155241315708576,0.12419305256686136,493,4040
32,Längere Haltezeit am Bahnhof,0.13126344912388566,0.12210267445434983,427,3972
49,Kurzfristiger Personalausfall,0.07101137411620043,0.2162311712265601,231,7034
14,Defekt am Bahnhof,0.05717798954810944,0.08167845066092837,186,2657
6,Betätigen der Notbremse,0.05133722717491546,0.06188134030126038,167,2013
19,Unfall an einem Bahnübergang,0.04334460498001844,0.0034122348601291117,141,111
58,Umleitung,0.040885336612357825,0.022071933599754075,133,718
13,Pass- und Zollkontrolle,0.03934829388256993,0.020012296341838303,128,651
21,Warten auf Anschlussreisende,0.03934829388256993,0.0417768213956348,128,1359
54,Verfügbarkeit der Gleise derzeit eingeschränkt,0.03442975714724869,0.027267138026437134,112,887
10,Tiere auf der Strecke,0.02490009222256379,0.05533353827236397,81,1800
26,Abhängen von Wagen,0.017214878573624345,0.00261297264063941,56,85
18,Umgestürzter Baum auf der Strecke,0.008300030740854596,0.003596679987703658,27,117
63,Technische Untersuchung am Zug,0.00768521364893944,0.003965570242852752,25,129
69,Zug verkehrt mit verminderter Geschwindigkeit,0.00768521364893944,0.003381494005533354,25,110
15,Beeinträchtigung durch Vandalismus,0.0046111281893636644,0.01893636643098678,15,616
35,Streckensperrung,0.003074085459575776,0.0055026129726406395,10,179
37,Kurzfristiger Fahrzeugausfall,0.0018444512757454657,0.0241623117122656,6,786
22,Witterungsbedingte Beeinträchtigungen,0.0006148170919151552,0.09142330156778358,2,2974
53,Unwetterauswirkungen,0.0,0.0003688902551490931,0,12
56,Laden der Antriebsbatterie,0.0,0.0012296341838303104,0,40
24,Verspätung im Ausland,0.0,0.0007992622194897018,0,26
60,Witterungsbedingt verminderte Geschwindigkeit,0.0,0.02047340916077467,0,666
62,Behobener Defekt am Zug,0.0,0.0019059329849369813,0,62
12,Warten auf ein verspätetes Schiff,0.0,0.0014755610205963725,0,48
11,Unwetter,0.0,0.011835229019366738,0,385
65,Erdrutsch,0.0,0.0005840762373193975,0,19
9,Streikauswirkungen,0.0,0.00046111281893636643,0,15
68,Hohes Fahrgastaufkommen,0.0,0.09028588994774055,0,2937
