event_id,stop_id,richtung,t0,n_trips,t0_date,dauer_min,hvz
0,8000262,Ost,2025-01-01 12:17:56.047036+00:00,38,2025-01-01,125.98403911666666,False
2,8000262,Ost,2025-01-02 21:51:53.957638+00:00,3,2025-01-02,12.010918266666666,False
4,8000262,Ost,2025-01-03 18:59:55.183603+00:00,3,2025-01-03,9.997428033333334,True
6,8000262,Ost,2025-01-04 18:27:55.307237+00:00,8,2025-01-04,40.002356999999996,True
7,8000262,Ost,2025-01-08 12:25:32.474931+00:00,3,2025-01-08,20.00626541666667,False
9,8000262,Ost,2025-01-09 17:05:33.757845+00:00,4,2025-01-09,7.9811756166666665,True
10,8000262,Ost,2025-01-15 21:11:25.411662+00:00,5,2025-01-15,11.999236733333333,False
11,8000262,Ost,2025-01-18 15:39:25.509888+00:00,26,2025-01-18,66.00485903333333,True
12,8000262,Ost,2025-01-22 11:23:25.875332+00:00,3,2025-01-22,1.9952635,False
13,8000262,Ost,2025-01-22 19:17:29.190625+00:00,3,2025-01-22,0.00044955,True
14,8000262,Ost,2025-01-25 19:17:27.084279+00:00,26,2025-01-25,57.98006818333333,True
15,8000262,Ost,2025-01-29 08:17:17.570087+00:00,45,2025-01-29,27.9829702,True
16,8000262,Ost,2025-02-07 11:17:03.668602+00:00,40,2025-02-07,13.9717105,False
18,8000262,Ost,2025-02-15 11:46:13.097792+00:00,26,2025-02-15,57.99476375,False
23,8000262,Ost,2025-02-20 06:42:14.178344+00:00,3,2025-02-20,15.992593983333334,True
24,8000262,Ost,2025-02-20 13:10:13.953781+00:00,31,2025-02-20,98.00144228333333,False
27,8000262,Ost,2025-02-27 07:28:14.175701+00:00,34,2025-02-27,64.0004038,True
28,8000262,Ost,2025-03-05 22:16:56.376346+00:00,3,2025-03-05,0.00029851666666666667,False
30,8000262,Ost,2025-03-14 17:17:25.147806+00:00,25,2025-03-14,0.00011541666666666666,True
31,8000262,Ost,2025-03-22 16:36:52.310663+00:00,12,2025-03-22,32.09439625,True
34,8000262,Ost,2025-04-05 12:54:26.358896+00:00,4,2025-04-05,7.9254051500000005,False
35,8000262,Ost,2025-04-07 06:16:40.610523+00:00,47,2025-04-07,72.93015413333333,True
37,8000262,Ost,2025-04-07 16:16:14.811032+00:00,3,2025-04-07,25.95803126666667,True
38,8000262,Ost,2025-04-12 22:25:33.685100+00:00,4,2025-04-12,28.843145250000003,False
39,8000262,Ost,2025-04-13 20:49:19.704970+00:00,9,2025-04-13,26.576348283333335,False
41,8000262,Ost,2025-05-07 13:11:41.187815+00:00,20,2025-05-07,35.30348098333333,False
