code,n_vorkommen,n_halte,n_tage,erstes_auftreten,letztes_auftreten,bedeutung,bedeutung_bekannt,ist_stoerungscode
43,2300277,152,346,2025-01-01 01:39:33.293355,2026-01-01 04:18:06.329844,Verspätung eines vorausfahrenden Zuges,True,True
0,1335174,152,345,2025-01-01 05:39:33.249971,2026-01-01 04:17:57.737055,UNBEKANNT (nicht in IRIS-Referenz),False,False
34,679328,151,331,2025-01-01 15:47:40.593608,2025-12-31 21:56:38.856931,Defekt an einem Signal,True,True
85,371182,151,261,2025-01-02 03:43:51.926722,2025-12-30 19:48:33.193352,Ein Wagen fehlt,True,False
48,340084,152,345,2025-01-01 01:39:51.271803,2026-01-01 04:17:57.737055,Verspätung aus vorheriger Fahrt,True,True
64,298786,151,208,2025-01-03 04:15:33.655051,2025-12-31 05:00:51.677567,Defekt an einer Weiche,True,True
38,291680,151,251,2025-01-01 05:11:40.100698,2025-12-30 21:17:24.171975,Defekt an der Strecke,True,True
36,248047,151,337,2025-01-01 01:45:33.167441,2025-12-31 20:23:04.793662,Technische Störung am Zug,True,True
7,240792,151,200,2025-01-01 07:45:54.544691,2025-12-30 14:24:39.043236,Unbefugte Personen auf der Strecke,True,True
2,178277,151,256,2025-01-03 16:09:33.533229,2025-12-30 23:10:33.485035,Polizeieinsatz,True,True
41,157007,151,202,2025-01-01 10:17:33.849844,2025-12-31 12:24:50.267459,Defekt an einem Bahnübergang,True,True
44,154834,152,343,2025-01-01 01:03:46.674498,2025-12-31 23:08:54.796655,Warten auf einen entgegenkommenden Zug,True,True
5,151740,151,233,2025-01-01 11:53:55.320932,2025-12-31 18:58:55.858072,Ärztliche Versorgung eines Fahrgastes,True,True
3,124384,150,75,2025-01-03 02:55:54.093259,2025-12-31 21:20:39.943189,Feuerwehreinsatz auf der Strecke,True,True
82,107553,147,169,2025-01-02 03:17:53.690553,2025-12-30 20:04:33.611294,Abweichende Wagenreihung,True,False
40,100593,150,137,2025-01-01 11:13:33.645561,2025-12-31 10:34:53.451670,Defektes Stellwerk,True,True
31,94531,152,247,2025-01-06 02:51:52.036207,2025-12-22 22:24:01.519998,Bauarbeiten,True,True
33,71304,149,50,2025-01-07 07:27:55.623335,2025-12-24 07:38:07.783977,Defekt an der Oberleitung,True,True
8,63701,150,49,2025-01-07 19:31:34.533719,2025-12-21 14:55:50.796438,Notarzteinsatz auf der Strecke,True,True
45,59205,151,334,2025-01-01 17:05:54.388450,2025-12-31 21:09:04.968587,Vorfahrt eines anderen Zuges,True,True
23,46096,150,165,2025-01-03 06:37:33.569819,2025-12-12 21:18:03.718823,Betriebsstabilisierung,True,True
42,43658,150,218,2025-01-01 13:59:33.231643,2025-12-31 14:16:57.144995,Außerplanmäßige Geschwindigkeitsbeschränkung,True,True
55,37160,150,185,2025-01-01 06:33:33.818797,2025-11-15 17:06:44.245323,Technischer Defekt an einem anderen Zug,True,True
67,33812,151,194,2025-01-04 00:19:33.992759,2025-12-30 22:54:52.499900,Behördliche Maßnahme,True,True
28,33490,150,56,2025-01-02 13:57:52.687870,2025-12-29 14:14:26.293063,Gegenstände auf der Strecke,True,True
61,17842,151,243,2025-01-01 06:35:52.359894,2025-12-31 08:52:38.355187,Defekte Tür,True,True
32,14314,150,238,2025-01-01 01:43:54.258578,2025-12-31 22:46:55.341614,Längere Haltezeit am Bahnhof,True,True
57,14247,151,196,2025-01-01 05:51:54.626965,2025-12-31 21:36:57.022163,Zusätzlicher Halt,True,True
49,13362,144,19,2025-01-03 14:01:54.075902,2025-12-23 19:28:18.432948,Kurzfristiger Personalausfall,True,True
88,12874,148,126,2025-01-02 12:07:34.573272,2025-12-12 21:37:48.204821,Keine Qualitätsmängel,True,False
25,12780,124,196,2025-01-02 21:35:33.718956,2025-12-31 16:50:39.029705,Bereitstellung weiterer Wagen,True,True
51,11678,150,208,2025-01-01 10:43:46.962392,2025-12-31 11:14:45.198426,Verspätetes Personal aus vorheriger Fahrt,True,True
14,9848,150,30,2025-01-06 17:05:40.589137,2025-11-18 09:34:57.617845,Defekt am Bahnhof,True,True
