code,n_vorkommen,n_halte,n_tage,erstes_auftreten,letztes_auftreten,bedeutung,bedeutung_bekannt,ist_stoerungscode
43,935676,12,346,2025-01-01 01:39:33.293355,2026-01-01 04:18:06.329844,Verspätung eines vorausfahrenden Zuges,True,True
0,551507,12,343,2025-01-01 05:39:52.217505,2026-01-01 04:17:57.737055,UNBEKANNT (nicht in IRIS-Referenz),False,False
34,281153,12,314,2025-01-02 08:55:54.317791,2025-12-31 21:56:38.856931,Defekt an einem Signal,True,True
85,166509,12,254,2025-01-02 03:43:55.010622,2025-12-30 19:14:43.287292,Ein Wagen fehlt,True,False
48,125572,12,345,2025-01-01 01:39:51.271803,2026-01-01 04:17:57.737055,Verspätung aus vorheriger Fahrt,True,True
64,118509,12,187,2025-01-03 04:15:51.847968,2025-12-30 21:17:24.342354,Defekt an einer Weiche,True,True
38,107102,12,229,2025-01-01 05:11:53.758348,2025-12-30 21:17:24.171975,Defekt an der Strecke,True,True
36,105222,12,331,2025-01-01 01:45:52.111737,2025-12-31 19:50:57.477556,Technische Störung am Zug,True,True
7,99599,12,174,2025-01-01 07:49:51.638921,2025-12-30 14:24:39.043236,Unbefugte Personen auf der Strecke,True,True
2,74519,12,235,2025-01-03 16:09:34.001925,2025-12-30 22:30:50.103030,Polizeieinsatz,True,True
5,67131,12,214,2025-01-01 12:17:33.970120,2025-12-31 18:50:57.326392,Ärztliche Versorgung eines Fahrgastes,True,True
3,57432,12,74,2025-01-03 02:55:54.093259,2025-12-31 20:48:57.959501,Feuerwehreinsatz auf der Strecke,True,True
41,56327,12,184,2025-01-01 10:17:53.393233,2025-12-31 12:24:50.267459,Defekt an einem Bahnübergang,True,True
82,48519,12,161,2025-01-02 03:17:53.690553,2025-12-30 19:52:43.302066,Abweichende Wagenreihung,True,False
44,46877,12,339,2025-01-01 01:29:33.409437,2025-12-31 22:04:57.779134,Warten auf einen entgegenkommenden Zug,True,True
40,36034,12,120,2025-01-01 11:13:33.942676,2025-12-31 09:58:31.727057,Defektes Stellwerk,True,True
31,29549,12,223,2025-01-06 02:51:52.036207,2025-12-22 21:46:49.527652,Bauarbeiten,True,True
33,29303,12,49,2025-01-07 07:29:55.670140,2025-12-24 07:08:15.526517,Defekt an der Oberleitung,True,True
45,24939,12,319,2025-01-01 17:13:33.325499,2025-12-31 19:54:57.449490,Vorfahrt eines anderen Zuges,True,True
8,24687,12,46,2025-01-07 19:31:34.533719,2025-12-21 14:21:59.155973,Notarzteinsatz auf der Strecke,True,True
23,20909,12,158,2025-01-03 06:37:33.569819,2025-12-12 21:17:52.725044,Betriebsstabilisierung,True,True
42,16905,12,202,2025-01-01 14:07:53.691608,2025-12-31 14:12:57.172211,Außerplanmäßige Geschwindigkeitsbeschränkung,True,True
55,15000,12,169,2025-01-01 06:33:52.861039,2025-11-15 06:55:08.922320,Technischer Defekt an einem anderen Zug,True,True
28,14102,12,49,2025-01-02 14:13:56.136472,2025-12-29 13:48:26.357833,Gegenstände auf der Strecke,True,True
67,13715,12,160,2025-01-04 00:19:51.363269,2025-12-30 20:44:43.200351,Behördliche Maßnahme,True,True
25,6723,12,157,2025-01-02 21:35:53.911699,2025-12-31 16:50:39.029705,Bereitstellung weiterer Wagen,True,True
61,6647,12,212,2025-01-01 06:35:52.359894,2025-12-31 08:06:50.581352,Defekte Tür,True,True
49,5908,12,16,2025-01-03 14:13:54.867255,2025-12-23 18:58:15.911516,Kurzfristiger Personalausfall,True,True
32,5890,12,211,2025-01-01 01:43:54.258578,2025-12-31 22:08:57.382297,Längere Haltezeit am Bahnhof,True,True
88,5714,12,119,2025-01-02 12:11:53.268562,2025-12-12 21:13:49.949590,Keine Qualitätsmängel,True,False
57,5555,12,184,2025-01-01 06:11:33.211246,2025-12-31 21:28:56.836146,Zusätzlicher Halt,True,True
51,4720,12,194,2025-01-02 07:51:54.795187,2025-12-30 15:52:43.931775,Verspätetes Personal aus vorheriger Fahrt,True,True
14,4217,12,26,2025-01-06 17:05:56.312492,2025-11-18 08:48:57.888303,Defekt am Bahnhof,True,True
47,4035,12,182,2025-01-02 03:59:52.899562,2025-12-31 19:50:57.477556,Verspätete Bereitstellung,True,True
50,3372,12,13,2025-01-03 14:17:34.436732,2025-12-13 05:08:02.194387,Kurzfristige Erkrankung von Personal,True,True
22,3252,12,13,2025-01-05 11:17:36.125359,2025-10-30 14:17:39.434546,Witterungsbedingte Beeinträchtigungen,True,True
68,2981,12,8,2025-01-07 13:01:54.272541,2025-10-03 16:22:47.460169,Hohes Fahrgastaufkommen,True,True
81,2247,12,124,2025-01-01 10:17:57.010801,2025-12-14 10:20:05.083021,UNBEKANNT (nicht in IRIS-Referenz),False,False
10,2026,12,19,2025-01-16 17:36:59.299585,2025-12-30 13:40:39.500411,Tiere auf der Strecke,True,True
60,1969,12,6,2025-06-18 05:17:34.984919,2025-10-29 05:06:34.413602,Witterungsbedingt verminderte Geschwindigkeit,True,True
6,1848,12,37,2025-01-02 11:29:53.361114,2025-12-29 14:32:26.089375,Betätigen der Notbremse,True,True
21,1789,12,94,2025-01-03 17:49:55.625214,2025-12-24 08:46:15.766760,Warten auf Anschlussreisende,True,True
17,1786,12,5,2025-02-14 11:01:24.235005,2025-11-06 17:09:29.233145,Beschädigung einer Brücke,True,True
1000,1647,12,15,2025-01-05 19:31:51.716295,2025-11-22 22:12:25.206829,UNBEKANNT (nicht in IRIS-Referenz),False,False
1,1490,12,23,2025-01-02 11:09:55.001132,2025-10-22 20:37:15.840004,Nähere Informationen in Kürze,True,False
1001,1059,11,8,2025-01-05 19:31:51.716295,2025-11-17 18:16:06.842016,UNBEKANNT (nicht in IRIS-Referenz),False,False
15,934,12,14,2025-01-15 21:25:23.978389,2025-12-30 11:12:40.057106,Beeinträchtigung durch Vandalismus,True,True
13,917,12,40,2025-02-11 12:38:38.960349,2025-12-28 22:28:59.388195,Pass- und Zollkontrolle,True,True
58,903,12,58,2025-01-01 12:17:34.410709,2025-12-23 18:39:57.130080,Umleitung,True,True
54,893,12,52,2025-01-01 06:43:51.751411,2025-12-30 18:46:43.206835,Verfügbarkeit der Gleise derzeit eingeschränkt,True,True
37,829,12,15,2025-01-07 14:41:51.538484,2025-12-04 23:12:44.956169,Kurzfristiger Fahrzeugausfall,True,True
19,548,11,2,2025-01-04 06:17:52.234567,2025-04-29 21:18:09.219243,Unfall an einem Bahnübergang,True,True
11,278,12,2,2025-09-04 20:16:33.353599,2025-10-28 13:18:33.652959,Unwetter,True,True
35,209,12,8,2025-01-11 11:25:59.510465,2025-10-12 01:53:58.128530,Streckensperrung,True,True
83,165,12,12,2025-02-02 18:56:36.551963,2025-12-06 10:32:13.286335,UNBEKANNT (nicht in IRIS-Referenz),False,False
26,164,12,14,2025-02-17 05:59:53.329144,2025-12-30 19:14:43.287292,Abhängen von Wagen,True,True
18,160,12,2,2025-06-25 19:14:59.858247,2025-08-09 08:16:06.145990,Umgestürzter Baum auf der Strecke,True,True
86,144,12,12,2025-03-15 08:05:22.567016,2025-11-02 11:20:54.570236,UNBEKANNT (nicht in IRIS-Referenz),False,False
63,142,12,9,2025-02-10 08:55:01.040439,2025-12-13 09:21:44.040362,Technische Untersuchung am Zug,True,True
98,139,12,9,2025-02-06 19:46:59.715166,2025-11-12 08:52:05.707042,UNBEKANNT (nicht in IRIS-Referenz),False,False
