code,bedeutung,n_episoden,dauer_median_min,dauer_q25_min,dauer_q75_min,dauer_max_min,stationen_median,stationen_max,fahrten_median,fahrten_summe
48,Verspätung aus vorheriger Fahrt,3482,20.0277398,1.5686294166666666,38.03137636666666,593.7297322666667,11.0,12,2.0,11084
43,Verspätung eines vorausfahrenden Zuges,2968,25.62785416666667,4.3257244,97.20035672083333,1284.9694841833334,11.0,12,5.0,101937
44,Warten auf einen entgegenkommenden Zug,2386,17.224109433333332,0.0,29.61355767083333,215.01531773333332,11.0,12,1.0,4641
36,Technische Störung am Zug,2061,4.302102516666666,0.08335633333333334,21.121840333333335,216.00782225,10.0,12,1.0,7917
34,Defekt an einem Signal,1610,14.6097563,0.4906396791666667,36.06808445833334,785.7259826000001,10.0,12,2.0,17537
45,Vorfahrt eines anderen Zuges,1356,19.9855378,1.6046864625000001,26.858318108333336,125.16956686666667,11.0,12,1.0,2067
38,Defekt an der Strecke,878,15.306379375,0.9070526708333333,40.267527474999994,1159.65556385,10.0,12,2.0,7619
31,Bauarbeiten,855,10.039579516666667,0.05624233333333333,22.40973985833333,619.9330390666667,8.0,12,1.0,2861
64,Defekt an einer Weiche,683,14.958938366666667,0.42581671666666665,41.253133508333335,1184.2982355833333,10.0,12,2.0,7419
41,Defekt an einem Bahnübergang,638,16.732258558333335,1.1473746041666668,40.172298975000004,625.6848611333334,9.0,12,2.0,3996
42,Außerplanmäßige Geschwindigkeitsbeschränkung,627,16.046600016666666,1.422169575,26.66457295,698.9832811833334,11.0,12,1.0,1474
2,Polizeieinsatz,603,18.164464383333332,1.4957062333333333,34.98866653333333,264.39194833333335,11.0,12,2.0,4560
23,Betriebsstabilisierung,567,2.0122708666666664,0.3616083333333333,21.0993238,332.3207360166667,9.0,12,2.0,1989
5,Ärztliche Versorgung eines Fahrgastes,522,19.495094350000002,1.7165981541666666,30.580345704166668,198.17409813333333,11.0,12,1.0,3752
61,Defekte Tür,441,2.0123488333333333,0.0,17.010549933333333,67.40529186666667,6.0,12,1.0,787
57,Zusätzlicher Halt,433,13.747128949999999,0.8198802333333333,22.0006121,54.05027461666667,10.0,12,1.0,500
55,Technischer Defekt an einem anderen Zug,418,9.998245825,0.8729143833333334,23.661627662500003,199.0324647333333,9.0,12,1.0,1311
7,Unbefugte Personen auf der Strecke,389,18.2407565,0.9318945666666667,48.27962995,240.07064186666668,11.0,12,2.0,4820
32,Längere Haltezeit am Bahnhof,377,12.364549766666666,0.9991109166666666,21.675774750000002,176.36489283333333,9.0,12,1.0,579
51,Verspätetes Personal aus vorheriger Fahrt,374,11.474634941666668,0.43157660416666666,19.967203562500003,50.44787133333333,10.0,12,1.0,488
67,Behördliche Maßnahme,323,12.531035583333333,0.9485311083333333,22.989964733333338,164.30739193333332,10.0,12,1.0,941
47,Verspätete Bereitstellung,314,13.992762608333333,1.0074872041666665,19.558521562499998,51.35692781666667,10.0,12,1.0,371
25,Bereitstellung weiterer Wagen,294,16.349523866666665,2.743088275,22.2174136125,99.11445563333334,11.0,12,2.0,615
40,Defektes Stellwerk,259,14.183358566666667,0.2835956416666666,40.7806963,272.86418648333336,10.0,12,2.0,1991
33,Defekt an der Oberleitung,134,8.068414241666666,0.46259595833333333,25.969154858333333,312.03965685000003,11.0,12,2.0,1590
21,Warten auf Anschlussreisende,133,17.692228566666664,1.0463109166666666,23.15999156666667,50.26510726666667,11.0,12,1.0,141
3,Feuerwehreinsatz auf der Strecke,123,31.973282416666667,2.0009083583333336,70.87053084166666,206.90991375000002,12.0,12,12.0,2882
8,Notarzteinsatz auf der Strecke,117,5.018067966666666,0.0572798,28.3308924,252.3038455,8.0,12,3.0,1136
58,Umleitung,93,1.830065,0.02477035,15.6942036,40.42076911666666,8.0,12,1.0,105
28,Gegenstände auf der Strecke,82,19.263063725,1.1467282166666666,28.30355942916667,296.05521601666663,11.0,12,2.0,861
54,Verfügbarkeit der Gleise derzeit eingeschränkt,81,2.9009300666666666,0.0034447833333333335,16.044980833333334,43.66096381666667,5.0,12,1.0,111
6,Betätigen der Notbremse,64,13.57340975,1.6433920958333335,23.9966126625,93.41865231666667,9.0,12,1.0,210
13,Pass- und Zollkontrolle,56,11.317837575,0.0094818,18.325661491666665,64.02453325,7.0,12,1.0,111
14,Defekt am Bahnhof,45,24.002105183333335,2.1506929833333337,100.02827428333333,275.96028578333335,11.0,12,3.0,386
22,Witterungsbedingte Beeinträchtigungen,35,7.996321983333333,1.2675300083333334,26.691566816666665,95.02279651666666,10.0,12,1.0,184
49,Kurzfristiger Personalausfall,29,8.73119435,1.3632288166666666,21.989680500000002,206.02151853333334,11.0,12,1.0,362
10,Tiere auf der Strecke,29,4.01253045,0.8812007833333334,28.003543333333333,137.9734208666667,10.0,12,1.0,116
37,Kurzfristiger Fahrzeugausfall,23,1.31531645,0.23171925,6.238428133333333,66.29854741666666,10.0,12,1.0,66
15,Beeinträchtigung durch Vandalismus,22,1.9813341000000002,1.0758411333333333,15.607126941666666,31.40701,10.0,12,1.0,70
17,Beschädigung einer Brücke,16,20.371325341666665,1.75839105,50.317955049999995,116.12219759999999,10.5,12,7.0,110
50,Kurzfristige Erkrankung von Personal,15,10.401125566666668,0.206379725,19.211678,242.84438131666667,10.0,12,1.0,427
69,Zug verkehrt mit verminderter Geschwindigkeit,15,2.0131013833333333,0.0,18.429376808333334,52.75058515,10.0,12,1.0,18
26,Abhängen von Wagen,15,5.703500283333333,0.8630149833333334,18.4007227,21.6359496,9.0,12,1.0,16
63,Technische Untersuchung am Zug,13,9.802333516666666,1.4281247166666666,17.188862733333334,26.200878766666666,10.0,12,1.0,16
60,Witterungsbedingt verminderte Geschwindigkeit,12,8.239626741666667,0.8378177250000001,31.343188583333337,248.48841946666667,12.0,12,2.0,152
62,Behobener Defekt am Zug,12,6.855616033333334,0.289382125,21.930475408333333,44.00513656666667,10.5,12,1.0,12
35,Streckensperrung,10,21.358524666666668,17.948967620833333,28.5186575625,67.9948324,11.5,12,1.0,26
68,Hohes Fahrgastaufkommen,9,12.386331649999999,3.1779374833333334,15.999213300000001,202.6000009166667,8.0,12,1.0,186
18,Umgestürzter Baum auf der Strecke,6,6.713645208333333,0.9584349791666666,20.5701197,42.96047153333333,3.5,12,2.0,12
24,Verspätung im Ausland,4,6.987875291666666,1.5555897041666666,14.978682020833332,23.988112783333335,8.5,12,1.0,4
11,Unwetter,2,46.01859408333333,24.198644908333335,67.83854325833333,89.65849243333334,11.5,12,7.5,15
19,Unfall an einem Bahnübergang,2,53.43536676666667,27.125675183333335,79.74505835000001,106.05474993333334,10.5,11,11.0,22
53,Unwetterauswirkungen,1,23.8348233,23.8348233,23.8348233,23.8348233,12.0,12,1.0,1
12,Warten auf ein verspätetes Schiff,1,1.6794438833333334,1.6794438833333334,1.6794438833333334,1.6794438833333334,11.0,11,1.0,1
56,Laden der Antriebsbatterie,1,42.34865095,42.34865095,42.34865095,42.34865095,12.0,12,2.0,2
30,Personalausfall im Stellwerk,1,16.29217565,16.29217565,16.29217565,16.29217565,11.0,11,1.0,1
65,Erdrutsch,1,17.582926266666668,17.582926266666668,17.582926266666668,17.582926266666668,11.0,11,1.0,1
9,Streikauswirkungen,1,1.7181103333333332,1.7181103333333332,1.7181103333333332,1.7181103333333332,11.0,11,1.0,1
