code_a,code_b,anteil_b_folgt_a,n_a
56,43,1.0,24
19,43,0.9215686274509803,51
56,42,0.8333333333333334,24
56,38,0.8333333333333334,24
26,48,0.822429906542056,107
63,48,0.7840909090909091,88
6,43,0.7392055267702936,579
24,43,0.7222222222222222,36
11,43,0.72,50
54,48,0.7086614173228346,508
19,48,0.7058823529411765,51
33,43,0.68,1875
44,48,0.6614516939004134,25887
11,40,0.66,50
60,43,0.6588235294117647,170
49,48,0.6558441558441559,308
55,48,0.6522672390662732,3727
18,38,0.6486486486486487,37
57,48,0.6439372325249644,3505
11,33,0.64,50
50,48,0.6379310344827587,116
64,43,0.6376696633174687,11346
5,43,0.6358732299393122,5932
58,48,0.6357827476038339,626
10,43,0.6343490304709142,361
22,43,0.6296296296296297,351
38,43,0.6290020050449519,15461
7,43,0.6274821286735505,5036
2,43,0.6255459960291198,7555
45,48,0.6215778731789711,14209
41,43,0.6206650346797226,9804
62,43,0.6195652173913043,92
67,43,0.619188921859545,3033
25,43,0.6186590989712664,2819
32,43,0.6186584950629894,2937
34,43,0.6153809157368219,20792
28,48,0.6141078838174274,964
25,48,0.6140475345867329,2819
8,43,0.6100203114421124,1477
3,43,0.605707629586488,1717
23,48,0.6005825242718447,5150
5,48,0.5996291301416049,5932
45,43,0.5984939123090999,14209
18,43,0.5945945945945946,37
28,43,0.5923236514522822,964
57,43,0.5917261055634807,3505
23,43,0.5902912621359223,5150
68,45,0.5882352941176471,102
21,43,0.5871946082561078,1187
15,43,0.5854922279792746,193
47,43,0.5830521184851893,2667
40,43,0.5827211284161035,3403
42,48,0.5808984425279958,7769
48,43,0.5791515454886748,47946
68,43,0.5784313725490197,102
36,43,0.5771262699564587,17225
13,48,0.5740740740740741,378
58,43,0.5734824281150159,626
6,48,0.5734024179620034,579
55,43,0.572578481352294,3727
42,43,0.5721457072982365,7769
54,43,0.5708661417322834,508
60,48,0.5705882352941176,170
51,43,0.5692201992442459,2911
61,43,0.5615526802218115,2705
50,43,0.5603448275862069,116
38,48,0.5601190091197206,15461
31,43,0.5593286494925839,7686
51,48,0.5582274132600481,2911
36,48,0.5568069666182873,17225
44,43,0.549851276702592,25887
7,48,0.5486497220015886,5036
40,48,0.5486335586247428,3403
34,48,0.5474220854174683,20792
22,48,0.5470085470085471,351
64,48,0.5440683941477172,11346
18,48,0.5405405405405406,37
68,48,0.5392156862745098,102
14,43,0.5391752577319587,970
