code_a,code_b,lift,gemeinsame_fenster
19,26,157.89189189189187,3
12,21,134.6427656850192,3
22,60,99.47487912549927,27
9,25,57.77802197802198,3
25,65,57.77802197802198,6
15,26,55.18551561270008,4
6,68,50.05586688880715,22
61,65,49.93162393162393,6
12,61,49.93162393162393,3
30,32,49.71914893617021,6
40,65,41.4,6
12,40,41.4,3
6,15,37.442495311795284,15
32,65,33.14609929078014,4
12,23,31.037780401416764,3
11,40,29.325000000000003,17
11,33,26.15820895522388,8
54,63,25.543967611336033,6
8,18,24.515062815697444,9
49,50,24.13416393442623,7
54,62,24.06315789473684,6
24,28,22.079227323628217,3
17,62,21.928057553956833,2
49,54,21.548360655737703,19
9,42,21.278025091056254,3
9,23,20.69185360094451,2
18,23,18.622668240850057,21
14,19,18.171073094867804,3
51,65,17.966171194259356,2
18,28,15.981155015197565,4
9,41,15.202544455688882,3
12,41,15.202544455688882,3
49,58,14.60905807168658,14
55,62,14.23234964512514,25
42,56,14.185350060704168,8
18,42,13.982702202694108,23
13,50,13.656623376623378,5
8,68,13.498952976195252,16
10,58,12.837731702850629,12
55,63,12.690876698945432,21
19,51,11.97744746283957,6
8,11,11.917044424297371,3
10,68,11.730051312560422,3
6,62,11.178484107579463,3
12,45,11.144128868164476,3
3,37,10.983038101604278,15
40,68,10.624778761061947,28
28,35,9.98822188449848,6
37,58,9.984902435550492,4
7,68,9.83413984867235,43
3,60,9.47491943690638,17
38,56,9.33144023427101,12
9,38,9.33144023427101,3
18,38,9.06482765614898,34
21,60,9.043170829590842,9
21,49,8.829033815411094,16
9,36,8.729536775693177,3
17,23,8.485148598948467,38
21,68,8.340702299071987,7
6,8,8.158367821034874,35
24,67,8.044369645042838,3
61,63,7.681788297172914,10
6,37,7.561915719833165,3
10,49,7.2431464389034295,4
6,22,7.242398154206413,6
61,62,7.236467236467237,10
50,64,7.117808369540361,74
7,35,7.076115577713023,23
3,22,7.012644046094751,20
19,47,6.844756883421206,3
14,26,6.6299861292085245,3
32,68,6.599887026925249,15
26,51,6.5552246249324675,9
14,50,6.54158631415241,5
15,21,6.5360565866514175,5
49,67,6.4728602744948525,31
10,28,6.46296710173431,11
61,69,6.4014902476440945,10
11,32,6.214893617021276,3
12,44,6.00651168104187,3
9,44,6.00651168104187,3
44,53,6.00651168104187,8
14,68,5.789014437303018,4
49,51,5.743284234230449,26
58,60,5.700336091937407,3
26,28,5.668990799309947,3
19,67,5.6608527131782935,3
35,55,5.611612145792198,12
17,58,5.49528803107635,3
22,47,5.495086512042378,19
17,51,5.428627267330166,14
13,54,5.390772385509228,6
28,69,5.378273322422258,3
5,26,5.345975178093683,16
31,35,5.164959846754586,24
8,49,5.079395984126748,13
3,58,5.063366718027735,28
50,55,5.028004482629809,16
2,18,4.915490690004414,9
23,24,4.900702168644751,3
5,17,4.802724103341357,27
24,31,4.757199858852909,5
41,63,4.67770598636581,20
5,22,4.643217877687001,40
2,49,4.622262420245499,59
49,57,4.560499609679937,26
36,62,4.554540926448613,36
55,69,4.532455963909082,9
55,58,4.3751552323125615,46
6,67,4.359825439244897,35
7,50,4.341658392725486,21
3,62,4.329545454545455,4
14,54,4.303675206679218,10
34,65,4.2629370629370635,4
26,47,4.16235215883722,5
35,61,4.1609686609686625,7
15,57,4.155197553255806,10
51,63,4.146039506367544,5
57,58,4.145136542230974,40
15,28,4.072867176203263,3
28,58,4.063005512338364,12
22,61,3.985153083744634,17
7,63,3.9758776490160126,10
