code,bedeutung,n_episoden,dauer_median_min,dauer_iqr_min,stationen_median,anteil_isoliert,max_anteil_folgt_auf_andere,hvz_anteil,rang_fallzahl,rang_dauer_kurz,rang_dauer_einheitlich,rang_isolation,rang_nicht_folge,rangsumme
36,Technische Störung am Zug,2061,4.302102516666666,21.038484,10.0,0.012130033964095,0.4782608695652174,0.4560643211495694,4.0,2.0,2.0,7.0,15.0,30.0
31,Bauarbeiten,855,10.039579516666668,22.353497524999998,8.0,0.0269005847953216,0.3577981651376147,0.3956140647737656,8.0,6.0,3.0,4.0,11.0,32.0
8,Notarzteinsatz auf der Strecke,117,5.018067966666666,28.2736126,8.0,0.0341880341880341,0.0418848167539267,0.3841292988212419,20.0,3.0,8.0,2.0,1.0,34.0
23,Betriebsstabilisierung,567,2.0122708666666664,20.737715466666668,9.0,0.0052910052910052,0.3181818181818182,0.5508154383279927,13.0,1.0,1.0,15.0,10.0,40.0
34,Defekt an einem Signal,1610,14.6097563,35.57744477916667,10.0,0.0111801242236024,0.4485981308411215,0.4414358018587744,5.0,8.0,12.0,8.0,12.0,45.0
42,Außerplanmäßige Geschwindigkeitsbeschränkung,627,16.046600016666666,25.242403375,11.0,0.0063795853269537,0.1962616822429906,0.5494824016563147,11.0,11.0,5.0,14.0,4.0,45.0
55,Technischer Defekt an einem anderen Zug,418,9.998245825,22.788713279166668,9.0,0.0023923444976076,0.1931818181818181,0.5924,15.0,5.0,4.0,19.0,3.0,46.0
38,Defekt an der Strecke,878,15.306379375,39.360474804166664,10.0,0.020501138952164,0.3072625698324022,0.4779182461578682,7.0,10.0,15.0,5.0,9.0,46.0
2,Polizeieinsatz,603,18.164464383333332,33.49296029999999,11.0,0.0082918739635157,0.2538740520936366,0.5353265610112857,12.0,14.0,11.0,10.0,6.0,53.0
41,Defekt an einem Bahnübergang,638,16.732258558333335,39.02492437083333,9.0,0.0094043887147335,0.2694300518134715,0.5318763647984093,10.0,12.0,14.0,9.0,8.0,53.0
64,Defekt an einer Weiche,683,14.958938366666668,40.82731679166667,10.0,0.0161054172767203,0.4509803921568627,0.4589862373321857,9.0,9.0,17.0,6.0,13.0,54.0
5,Ärztliche Versorgung eines Fahrgastes,522,19.49509435,28.86374755,11.0,0.0076628352490421,0.2507122507122507,0.5619162532957948,14.0,16.0,9.0,12.0,5.0,56.0
44,Warten auf einen entgegenkommenden Zug,2386,17.224109433333332,29.61355767083333,11.0,0.0041911148365465,0.4565217391304347,0.5594001322610235,3.0,13.0,10.0,17.0,14.0,57.0
7,Unbefugte Personen auf der Strecke,389,18.2407565,47.34773538333334,11.0,0.0282776349614395,0.2549019607843137,0.4465004668721573,16.0,15.0,18.0,3.0,7.0,59.0
33,Defekt an der Oberleitung,134,8.068414241666666,25.506558899999998,11.0,0.0074626865671641,0.64,0.6103129372419206,18.0,4.0,7.0,13.0,17.0,59.0
43,Verspätung eines vorausfahrenden Zuges,2968,25.62785416666667,92.87463232083333,11.0,0.0946765498652291,0.9215686274509804,0.5050177625588345,2.0,19.0,20.0,1.0,20.0,62.0
45,Vorfahrt eines anderen Zuges,1356,19.9855378,25.253631645833337,11.0,0.0014749262536873,0.5882352941176471,0.5589638718473074,6.0,17.0,6.0,20.0,16.0,65.0
48,Verspätung aus vorheriger Fahrt,3482,20.0277398,36.462746949999996,11.0,0.0051694428489373,0.822429906542056,0.5483069474086579,1.0,18.0,13.0,16.0,19.0,67.0
3,Feuerwehreinsatz auf der Strecke,123,31.973282416666667,68.86962248333333,12.0,0.008130081300813,0.1058823529411764,0.4346705669313275,19.0,20.0,19.0,11.0,2.0,71.0
40,Defektes Stellwerk,259,14.183358566666667,40.49710065833334,10.0,0.0038610038610038,0.66,0.3577177110506743,17.0,7.0,16.0,18.0,18.0,76.0
