station,n_episoden,median_adf_stat,median_p_value,anteil_stationaer_5pct
Donnersbergerbruecke,287,-5.094582813314989,1.437490957840173e-05,0.8501742160278746
Hackerbruecke,287,-5.069309605013308,1.6154045204698137e-05,0.8362369337979094
Hauptbahnhof_tief,287,-5.163015332847458,1.045659048491623e-05,0.8815331010452961
Hirschgarten,287,-5.3867016442243045,3.611994660514063e-06,0.8745644599303136
Isartor,287,-4.839438593741434,4.568552731892629e-05,0.8397212543554007
Karlsplatz_Stachus,287,-4.868287511092268,4.0185330311709675e-05,0.8641114982578397
Laim,287,-5.380951641843276,3.7136200943386333e-06,0.8606271777003485
Leuchtenbergring,287,-4.380847156922532,0.00032087668948669603,0.8048780487804879
Marienplatz,287,-4.79775157302392,5.49271296611919e-05,0.8362369337979094
Ostbahnhof,287,-4.709323161754174,8.082385203528431e-05,0.8292682926829268
Pasing,287,-5.454385278147313,2.6013312869826236e-06,0.8292682926829268
Rosenheimer_Platz,287,-4.659173353163147,0.00010033912115670009,0.8571428571428571
