station,adf_stat,p_value
Pasing,-3.8451712325486223,0.0024775327120928484
Laim,-2.850941543152436,0.05135748494165579
Hirschgarten,-3.472280403031871,0.008728192295413677
Donnersbergerbruecke,-5.03496805076916,1.891550176410794e-05
Hackerbruecke,-2.0683500520577254,0.25743011588107867
Hauptbahnhof_tief,-3.3206090316351125,0.013982010892025717
Karlsplatz_Stachus,-4.555225198846366,0.00015607293366288867
Marienplatz,-2.2734978470891987,0.18065793648077072
Isartor,-3.8129494310141174,0.0027775696933890147
Rosenheimer_Platz,-4.298727488057296,0.00044647167140528677
Ostbahnhof,-2.019212361434852,0.2782131971913063
Leuchtenbergring,-2.646617822274813,0.08373989856688996
Pasing,-4.940836839792665,2.902304795182571e-05
Laim,-1.6803169889424712,0.44128122031380274
Hirschgarten,-2.908362448461338,0.044384164626199485
Donnersbergerbruecke,-4.227631224974212,0.0005914213178619658
Hackerbruecke,-4.910767009886485,3.322991343648831e-05
Hauptbahnhof_tief,-3.0947449156948466,0.026944540471821415
Karlsplatz_Stachus,-5.693331457541619,7.977885133953806e-07
Marienplatz,-4.346265424873731,0.0003690309350370604
Isartor,-3.5712405380875807,0.006335257291725318
Rosenheimer_Platz,-3.5259274551922792,0.007345661024292667
Ostbahnhof,-6.7013314223987415,3.882527318977257e-09
Leuchtenbergring,-3.85396877928323,0.002400976972018663
Pasing,-9.342006010774924,8.745953706449008e-16
Laim,-6.606852252241504,6.524020250309895e-09
Hirschgarten,-2.7971095114897446,0.058687841476598626
Donnersbergerbruecke,-2.981276350385747,0.036680337581535875
Hackerbruecke,-4.530132611544705,0.00017340379036919425
Hauptbahnhof_tief,-3.966185419579816,0.0015983005892320835
Karlsplatz_Stachus,-4.322011651054643,0.0004067993114285476
Marienplatz,-2.8960941019165305,0.04580408923084589
Isartor,-3.171226607001939,0.021711784847647107
Rosenheimer_Platz,-2.6582323003007264,0.08154893551714087
Ostbahnhof,-3.0495690621102636,0.030517477059256448
Leuchtenbergring,-3.128528664004493,0.024512720957847425
Pasing,-12.716980726598154,1.0015810470327905e-23
Laim,-2.941256339201305,0.040756501876099666
Hirschgarten,-8.23045836192791,6.082807791926989e-13
Donnersbergerbruecke,-5.348208699900288,4.347467774819727e-06
Hackerbruecke,-4.540065826178832,0.00016633466116467902
Hauptbahnhof_tief,-2.740799997836151,0.06724024764468689
Karlsplatz_Stachus,-5.050749884308215,1.759413533749515e-05
Marienplatz,-2.0732094266501,0.25542275740092274
Isartor,-2.4333991193232807,0.13253075207267556
Rosenheimer_Platz,-1.9056720342537363,0.32939752961270363
Ostbahnhof,-2.101648559428365,0.24385222439693255
Leuchtenbergring,-2.608823056919263,0.09118739801833947
Pasing,-4.319704069821821,0.00041057708347086837
Laim,-4.474230394809373,0.00021883296559084314
Hirschgarten,-5.1751187427651315,9.88084972975415e-06
Donnersbergerbruecke,-3.91438950630716,0.0019314637252066834
Hackerbruecke,-4.346159954030883,0.00036918775038337684
Hauptbahnhof_tief,-5.485646856337491,2.2331610918116533e-06
Karlsplatz_Stachus,-2.7115201584348356,0.07206590557330365
Marienplatz,-5.232536573386497,7.542348555479317e-06
Isartor,-2.9986955403536064,0.0350164001008285
Rosenheimer_Platz,-3.1437171808521045,0.023482578081771746
Ostbahnhof,-5.103427438487204,1.379822402880643e-05
Leuchtenbergring,-3.0992081577198243,0.02661184388159141
Pasing,-12.846232108776356,5.472836580552548e-24
Laim,-14.61296377055686,3.9955431058689385e-27
Hirschgarten,-15.044948160071911,9.47415393902497e-28
Donnersbergerbruecke,-13.529206852212637,2.6417775508059606e-25
Hackerbruecke,-13.94958038720058,4.72878369846489e-26
Hauptbahnhof_tief,-13.990919593462511,4.018044356864772e-26
Karlsplatz_Stachus,-12.884250028686994,4.589739642952011e-24
Marienplatz,-10.58144229359249,6.888976451719536e-19
Isartor,-13.308034047033367,6.8348901629318135e-25
Rosenheimer_Platz,-12.374755081274085,5.1855329472328685e-23
Ostbahnhof,-13.782520191344487,9.239637660788572e-26
Leuchtenbergring,-9.621601830239491,1.7032088910087612e-16
Pasing,-3.8741352677401126,0.0022336616445745743
Laim,-3.340240160062862,0.013172803313006295
Hirschgarten,-4.798125273698394,5.4836823623400263e-05
Donnersbergerbruecke,-3.2189752150148645,0.01891225953128124
Hackerbruecke,-3.5775557450809323,0.006204898544799705
Hauptbahnhof_tief,-3.925837460513245,0.001852715212753808
Karlsplatz_Stachus,-3.109850307893697,0.02583275775714345
Marienplatz,-3.862167741207428,0.0023316028365821155
Isartor,-3.636940923432086,0.0050928249935425175
Rosenheimer_Platz,-3.21323362343542,0.019231330990758102
Ostbahnhof,-4.433886459164944,0.0002584198765310252
Leuchtenbergring,-3.4389283050341164,0.009701263823184687
Pasing,-10.444073286823752,1.4958717422868414e-18
Laim,-6.401112757957364,1.9944741131583115e-08
Hirschgarten,-14.592518373656864,4.291734722412369e-27
Donnersbergerbruecke,-12.913405996973701,4.0125553962334854e-24
Hackerbruecke,-12.323881887759244,6.656385958596394e-23
Hauptbahnhof_tief,-13.631507000262378,1.7198039413931532e-25
Karlsplatz_Stachus,-13.198896889996922,1.1047815725797273e-24
Marienplatz,-12.595848512362634,1.7795999507011035e-23
Isartor,-4.132824062864208,0.0008543551734655199
Rosenheimer_Platz,-6.323005651986034,3.03365891258081e-08
Ostbahnhof,-10.390242322397997,2.029840361927716e-18
Leuchtenbergring,-9.621085935905308,1.7083424663172006e-16
Pasing,-2.6727045726243124,0.078881833484441
Laim,-6.310277927025248,3.2473692544555726e-08
Hirschgarten,-6.226483000805877,5.0740166044679284e-08
Donnersbergerbruecke,-5.958836503136773,2.0621446953986685e-07
Hackerbruecke,-6.7683700039281955,2.6808299554309826e-09
