p,T,logdet_Sigma_u,aic,bic
1,83274,115.08794712428278,115.09169379191013,115.1091717934246
2,82588,114.55651212984168,114.56377710780458,114.59763778854696
3,81902,114.42355939989542,114.4344016259705,114.48488996249668
4,81216,114.33992725940789,114.35440716484524,114.42177396596855
5,80530,114.31674788603965,114.33492744645191,114.41942954340244
6,79844,114.32639088226153,114.34833367069899,114.45023411517445
7,79158,114.31616594655806,114.34193718888353,114.46150545939055
8,78472,114.32445209807095,114.35411873075522,114.49163094766331
9,77786,114.34026328348388,114.37389401394951,114.52963316370612
10,77100,114.35336933600351,114.39103470565331,114.56529087463475
11,76414,114.36824458595842,114.41001703603301,114.603087654536
12,75728,114.35486491133136,114.4008188517497,114.61300894865883
13,75042,114.34077430806411,114.39098618941055,114.6226086581108
14,74356,114.32563830635334,114.38018669518544,114.63156257132455
15,73670,114.30459637914332,114.36356203680587,114.63502078854984
16,72984,114.27419248025791,114.33765844540095,114.6295382768674
17,72298,114.25872749324097,114.32677916825273,114.63942733685086
18,71612,114.26986881917912,114.34259406075874,114.6763672092128
19,70926,114.25814749269672,114.33563670680721,114.69090121069115
20,70240,114.25461738973911,114.33696363119697,114.71409596286368
