,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,0.9200599706357027,0.032525829667997615,0.008282075349259392,0.017083183949053487,0.003033695845938705,0.0010358093746932868,0.0002900082214994347,0.0015743781947828975,0.007166931761732378,0.003953255433639944,0.0006557512467866058,0.004339110318913473
Laim,0.28772861068016004,0.6512331654840458,0.01460852004753721,0.020383333635765902,0.0029638671408507133,0.0011606631142166966,0.0003376227020090611,0.001518833298410904,0.007745921840848511,0.002531698824501124,0.0004190544821878658,0.009368708749466333
Hirschgarten,0.2790592401379003,0.32218534399822263,0.3325371185241255,0.032981576885760935,0.0037773860813421823,0.000866655880893161,0.0004304267263334382,0.001972404987951682,0.012204003372639835,0.00398308927531293,0.00033739470349657396,0.009665359426020637
Donnersbergerbruecke,0.25277501942489566,0.3796916938797516,0.0820819996160594,0.24229110188647698,0.006026454581594931,0.0005830149169447461,0.00047350709545362647,0.0026747285193057836,0.017807755406777214,0.005362986166684693,0.00034393857984829065,0.009887799926206912
Hackerbruecke,0.25814737886072686,0.28807435901434786,0.09801194746167809,0.055671867159936494,0.2544254854177559,0.0039041213269809306,0.0014648536815876406,0.004561941601435026,0.017698208538006226,0.006276492383149466,0.00046018672962606927,0.011303157824769374
Hauptbahnhof_tief,0.23151337638416028,0.2259328666700844,0.15625612207422446,0.07406866437272157,0.08303352933578427,0.17881254695769971,0.004723239925754906,0.00680290230512659,0.019846077723923553,0.007349303703239227,0.0004834499915900193,0.011177920555691057
Karlsplatz_Stachus,0.22602912848977855,0.25583671606839803,0.07060420805091723,0.11700133164745592,0.1037984193071308,0.032753664564767644,0.1417635786461995,0.010238715908371571,0.02230778384225,0.008424401926510859,0.00037195761266715466,0.010870093935552643
Marienplatz,0.23271986030758796,0.22561691050942817,0.09742355173123451,0.04837720106710877,0.1554964691181343,0.021776828757454667,0.013838516470935258,0.15847487259195095,0.023419593430382704,0.01062608789905448,0.00048717490605434363,0.011742933210674029
Isartor,0.216353454258305,0.2089128022999895,0.10774883253957071,0.08534074523670139,0.0756229738046618,0.07987647390855536,0.019413790011186392,0.017849855505082748,0.16035485156041232,0.01670610530991752,0.0005092822975075043,0.011310833268109713
Rosenheimer_Platz,0.22748873124637475,0.18924448962089538,0.04913327916156112,0.08111726210042172,0.09572951858572264,0.018647501827354324,0.04257121118689304,0.045905620898738946,0.054021906809283884,0.18456622427747021,0.0009275168262085141,0.010646737459075338
Ostbahnhof,0.22477817722459767,0.15324829379196706,0.08800450057259147,0.05165911153131249,0.08897962031577238,0.05323790343607023,0.017910531584616873,0.026397964538830636,0.06001408886438095,0.03380890593295333,0.1933200326841596,0.00864086952274736
Leuchtenbergring,0.18100803626277334,0.14450565653900435,0.05405234888477126,0.056638195212498875,0.05447672357792919,0.02133388868680617,0.0211137010494898,0.028815457646946367,0.044460406600602576,0.058552048055820254,0.0076946968331381175,0.32734884065021963
