station,n,k,resid_var,aic,bic
Pasing,60483,15,46832.87056637729,650484.7823824253,650619.9341466172
Laim,76025,15,43973.72960545789,812839.7073850017,812978.2896476899
Hirschgarten,78110,15,49446.89938084291,844294.0133819652,844433.0014824943
Donnersbergerbruecke,79051,15,54908.3803603605,862746.8643070919,862886.0320344836
Hackerbruecke,80255,15,54039.155919932,874605.9871567494,874745.3816219146
Hauptbahnhof_tief,79900,15,58014.497963873466,876409.0130326339,876548.3409996103
Karlsplatz_Stachus,80878,15,59454.59759305664,889119.2848770096,889258.7953338905
Marienplatz,77416,15,61419.89499378744,853579.2629541431,853718.1171854915
Isartor,80475,15,65031.93700723073,891904.9523818846,892044.387909727
Rosenheimer_Platz,76429,15,68597.9773784431,851144.744867145,851283.4066294092
Ostbahnhof,79043,15,76072.08553510721,888428.7922021494,888567.9584114569
Leuchtenbergring,61006,15,89462.0675023015,695594.1786655425,695729.4595780271
