,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,163.97255292313682,9.871679427430784,5.823344043210242,7.068612430609041,2.8796326752411163,-5.0262341319616555,1.149388507622028,1.9376996631956724,4.233530782842499,3.1780923209194896,2.760034540077418,3.2118957421690255
Laim,76.15500930575968,157.51418373855205,10.669923273078206,10.593321661188892,3.368897883089074,-3.8498067674802328,-2.194061070593506,1.9894423765352007,5.234452523983532,2.5595151554742275,3.083292627409189,6.877971758158344
Hirschgarten,65.45735447417714,81.23994437829708,132.0671431081325,14.50448443942988,6.2288679076116775,-3.6290590618922582,-2.8229332153441327,2.7664475809366706,6.753800361499147,3.4814788089590896,-2.7214537802558274,7.2911937737351655
Donnersbergerbruecke,69.43990292513104,121.28490951434686,53.1620342028145,111.87413389960892,7.919217438886595,-3.0034619447607276,2.724066476981544,3.065589889945458,9.430284851178344,4.620483967153274,-2.396642024156654,7.601383116949866
Hackerbruecke,68.28771790952004,91.54240889802318,66.12422290712229,28.60560070161964,114.13964584133288,11.697597546896983,6.141913913795234,5.206126289325098,9.155611248745032,4.893986789165243,-3.011599961285823,7.850769433639909
Hauptbahnhof_tief,54.084719036393,78.71554693746232,89.5678149325305,47.720619793710384,43.862175487280346,103.15951822804622,10.619732378964818,7.550376136835899,10.785369245892888,5.387429642433516,-3.1631252917177397,7.533327429261075
Karlsplatz_Stachus,60.45983669962749,97.10787597064498,41.60237340972452,71.63177572038381,60.5329117435069,36.55203788386111,92.62794320019306,10.4560048053886,12.134752053144178,6.274532009288314,-2.9701237588126155,7.5622883556854354
Marienplatz,61.21459053579979,75.62989743236437,71.19721708604233,21.237640648844305,88.0979870997052,30.176642014436457,19.555653394802,94.32164226090973,13.305422624502409,7.557138356156834,-3.5391968394710744,8.272196106073084
Isartor,54.71429716965784,80.80056205971864,75.4611771794651,51.87682927078876,40.744563208352695,71.58089509155111,30.911996335932336,13.871287271541213,90.77816140000594,9.828538840265578,3.4113507285035034,8.037587999309052
Rosenheimer_Platz,60.825432302531624,82.66412141693456,42.72179910321607,53.22143652657777,67.14269816194218,22.978234473305516,53.6548609459234,43.18442666385882,24.842422734738438,102.54889151388242,4.997487907868844,8.125306354870354
Ostbahnhof,56.117323103438395,64.00998763557294,73.28531123862,34.935214552659886,54.04874363230918,60.708736224936274,25.025029143542827,31.27503712521097,43.90148768501498,25.699404598575356,120.48389333136053,6.982964755877511
Leuchtenbergring,53.70682652009508,70.46656416987052,41.3643503403521,41.75305954073593,47.38531743883435,25.552173897789213,40.168894891206904,28.25859390008235,26.81546201679033,52.839653981346395,21.507415351690554,151.29011652177692
