,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,5.0,90.0,70.0,75.0,90.0,5.0,5.0,95.0,90.0,105.0,15.0,120.0
Laim,5.0,5.0,5.0,65.0,95.0,10.0,10.0,90.0,105.0,90.0,5.0,70.0
Hirschgarten,15.0,5.0,5.0,65.0,10.0,15.0,10.0,5.0,85.0,105.0,5.0,70.0
Donnersbergerbruecke,10.0,5.0,5.0,5.0,5.0,15.0,5.0,5.0,65.0,85.0,10.0,65.0
Hackerbruecke,10.0,10.0,5.0,15.0,5.0,5.0,10.0,80.0,65.0,80.0,5.0,65.0
Hauptbahnhof_tief,15.0,5.0,5.0,5.0,10.0,5.0,10.0,55.0,5.0,75.0,10.0,70.0
Karlsplatz_Stachus,15.0,5.0,10.0,5.0,5.0,5.0,5.0,35.0,70.0,85.0,15.0,70.0
Marienplatz,15.0,10.0,5.0,55.0,5.0,5.0,15.0,5.0,65.0,10.0,5.0,70.0
Isartor,20.0,5.0,5.0,5.0,10.0,5.0,5.0,30.0,5.0,75.0,10.0,70.0
Rosenheimer_Platz,15.0,5.0,5.0,5.0,5.0,15.0,5.0,5.0,45.0,5.0,10.0,75.0
Ostbahnhof,30.0,5.0,5.0,5.0,10.0,5.0,15.0,5.0,5.0,20.0,5.0,90.0
Leuchtenbergring,35.0,10.0,5.0,5.0,5.0,15.0,5.0,20.0,10.0,5.0,5.0,5.0
