,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,0.0,40.0,35.0,40.0,50.0,5.0,10.0,55.0,50.0,30.0,20.0,25.0
Laim,5.0,0.0,15.0,25.0,35.0,20.0,20.0,65.0,25.0,75.0,5.0,25.0
Hirschgarten,5.0,5.0,0.0,5.0,5.0,20.0,20.0,5.0,30.0,40.0,20.0,25.0
Donnersbergerbruecke,10.0,5.0,0.0,0.0,10.0,20.0,15.0,15.0,30.0,40.0,20.0,30.0
Hackerbruecke,10.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,30.0,40.0,25.0,30.0
Hauptbahnhof_tief,15.0,10.0,5.0,5.0,0.0,0.0,5.0,5.0,10.0,45.0,15.0,30.0
Karlsplatz_Stachus,15.0,10.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,25.0,20.0,35.0
Marienplatz,15.0,10.0,10.0,5.0,5.0,5.0,0.0,0.0,15.0,10.0,20.0,35.0
Isartor,20.0,15.0,10.0,10.0,10.0,5.0,5.0,5.0,0.0,10.0,5.0,40.0
Rosenheimer_Platz,20.0,15.0,15.0,10.0,10.0,5.0,5.0,5.0,5.0,0.0,5.0,40.0
Ostbahnhof,25.0,20.0,15.0,15.0,10.0,10.0,10.0,5.0,5.0,5.0,0.0,40.0
Leuchtenbergring,25.0,20.0,20.0,15.0,15.0,10.0,10.0,10.0,5.0,5.0,5.0,0.0
