station,n_episoden,median_adf_stat,median_p_value,anteil_stationaer_5pct
Donnersbergerbruecke,280,-4.286149362319511,0.000469438732870485,0.8
Hackerbruecke,280,-4.5556431367123125,0.00015595212342895748,0.8392857142857143
Hauptbahnhof_tief,280,-4.533771135596533,0.00017085200426523604,0.8107142857142857
Hirschgarten,280,-4.366178236118072,0.00034149967968257784,0.8071428571428572
Isartor,280,-4.62167700302196,0.00011792774967582604,0.8214285714285714
Karlsplatz_Stachus,280,-4.5616144273947885,0.00015204132141913488,0.7785714285714286
Laim,280,-4.6124519745907,0.00012256846316056232,0.8392857142857143
Leuchtenbergring,280,-4.35354465997516,0.00035844925823801165,0.7857142857142857
Marienplatz,280,-4.339034723072478,0.00037995339982326254,0.8107142857142857
Ostbahnhof,280,-3.4376919541215125,0.009752028702604335,0.6642857142857143
Pasing,280,-4.37383278421358,0.0003302177343265657,0.8357142857142857
Rosenheimer_Platz,280,-4.414807433708077,0.00027944700478737216,0.8
