p,T,logdet_Sigma_u,aic,bic
1,82618,112.7369517082587,112.74072812502018,112.75832997116918
2,81920,111.83533232443445,111.84265654318445,111.87676359313662
3,81222,111.64892600308656,111.65985900153525,111.71072445661989
4,80524,111.53918889964993,111.55379324121269,111.62167648852659
5,79826,111.48587637223834,111.50421626149748,111.58938308091562
6,79128,111.43966254096108,111.46180388157376,111.56452666157978
7,78430,111.42567502736173,111.4516854825447,111.57224344533867
8,77732,111.38440740752499,111.41435646325493,111.55303589962438
9,77034,111.35805836986019,111.39201740093738,111.54911191540708
10,76336,111.32401194774941,111.36205428688167,111.53786505369027
11,75638,111.31915331259566,111.36135432266997,111.55619035315586
12,74940,111.28881619723202,111.3352533469518,111.54943176896788
13,74242,111.27872930545334,111.32948224853138,111.56332859854784
14,73544,111.27230417018478,111.32745482829421,111.58130335689155
15,72846,111.14807387746198,111.20770652716135,111.4819005186615
16,72148,111.04688755518528,111.11108891904846,111.40598102608146
17,71450,111.00444802957266,111.07330737177,111.38925996562669
18,70752,110.98449178878917,111.05810101538347,111.39548655306217
19,70054,110.97911978976268,111.05757355400169,111.41677496291851
20,69356,110.97279975668286,111.05619556959017,111.4376066509892
