episode_id,date,start,end,n_obs,length_hours
0,2025-01-01,2025-01-01 01:50:00+01:00,2025-01-01 04:20:00+01:00,31,2.5833333333333335
1,2025-01-01,2025-01-01 04:35:00+01:00,2025-01-01 23:55:00+01:00,233,19.416666666666668
2,2025-01-02,2025-01-02 00:00:00+01:00,2025-01-02 02:50:00+01:00,35,2.9166666666666665
3,2025-01-02,2025-01-02 04:55:00+01:00,2025-01-02 23:55:00+01:00,229,19.083333333333332
4,2025-01-03,2025-01-03 00:00:00+01:00,2025-01-03 02:50:00+01:00,35,2.9166666666666665
5,2025-01-03,2025-01-03 04:55:00+01:00,2025-01-03 23:55:00+01:00,229,19.083333333333332
6,2025-01-04,2025-01-04 00:00:00+01:00,2025-01-04 03:45:00+01:00,46,3.8333333333333335
7,2025-01-04,2025-01-04 04:55:00+01:00,2025-01-04 23:55:00+01:00,229,19.083333333333332
8,2025-01-05,2025-01-05 00:00:00+01:00,2025-01-05 03:20:00+01:00,41,3.4166666666666665
9,2025-01-05,2025-01-05 05:00:00+01:00,2025-01-05 23:55:00+01:00,228,19.0
10,2025-01-06,2025-01-06 00:00:00+01:00,2025-01-06 03:20:00+01:00,41,3.4166666666666665
11,2025-01-06,2025-01-06 04:55:00+01:00,2025-01-06 23:55:00+01:00,229,19.083333333333332
12,2025-01-07,2025-01-07 00:00:00+01:00,2025-01-07 02:50:00+01:00,35,2.9166666666666665
13,2025-01-07,2025-01-07 04:50:00+01:00,2025-01-07 23:55:00+01:00,230,19.166666666666668
14,2025-01-08,2025-01-08 00:00:00+01:00,2025-01-08 02:55:00+01:00,36,3.0
15,2025-01-08,2025-01-08 04:55:00+01:00,2025-01-08 23:55:00+01:00,229,19.083333333333332
16,2025-01-09,2025-01-09 04:55:00+01:00,2025-01-09 23:55:00+01:00,229,19.083333333333332
17,2025-01-10,2025-01-10 00:00:00+01:00,2025-01-10 02:55:00+01:00,36,3.0
18,2025-01-10,2025-01-10 04:55:00+01:00,2025-01-10 23:15:00+01:00,221,18.416666666666668
19,2025-01-13,2025-01-13 04:50:00+01:00,2025-01-13 14:00:00+01:00,111,9.25
20,2025-01-14,2025-01-14 06:15:00+01:00,2025-01-14 23:55:00+01:00,213,17.75
21,2025-01-15,2025-01-15 00:00:00+01:00,2025-01-15 02:50:00+01:00,35,2.9166666666666665
22,2025-01-15,2025-01-15 04:55:00+01:00,2025-01-15 23:55:00+01:00,229,19.083333333333332
23,2025-01-16,2025-01-16 00:00:00+01:00,2025-01-16 02:55:00+01:00,36,3.0
24,2025-01-16,2025-01-16 04:55:00+01:00,2025-01-16 23:55:00+01:00,229,19.083333333333332
25,2025-01-17,2025-01-17 00:00:00+01:00,2025-01-17 02:55:00+01:00,36,3.0
26,2025-01-17,2025-01-17 05:00:00+01:00,2025-01-17 23:55:00+01:00,228,19.0
27,2025-01-18,2025-01-18 00:00:00+01:00,2025-01-18 03:20:00+01:00,41,3.4166666666666665
28,2025-01-18,2025-01-18 05:00:00+01:00,2025-01-18 23:55:00+01:00,228,19.0
29,2025-01-19,2025-01-19 00:00:00+01:00,2025-01-19 03:20:00+01:00,41,3.4166666666666665
