,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,0.26346538279606974,0.05543785708750185,0.04972985414457576,0.042262031348943276,0.027064341477894414,0.019816013389026003,0.01689639379676235,0.061821075403614575,0.07430801569507835,0.0889496121388149,0.17798531525022673,0.12226410747149213
Laim,0.00694913038757375,0.18022965681448483,0.05502092424928908,0.08095542411784337,0.023921714508046,0.04116671166271626,0.04161494743503369,0.09732108349121445,0.10968886978626377,0.1208717752037212,0.1330519962575302,0.10920776608628341
Hirschgarten,0.007217576816074232,0.057006644221584954,0.14576514995595954,0.05241203593181105,0.03712261202938009,0.04785868639414769,0.033743007074339554,0.12672861185793546,0.1257461064819863,0.12282413657132348,0.13361710350154013,0.10995832916391746
Donnersbergerbruecke,0.006587323834298046,0.026999654060361443,0.03955757436610891,0.16881648783023467,0.016201058235345244,0.04814937683686208,0.06273111766912375,0.09950057919731799,0.13518394130989678,0.11775791061595964,0.15919135787092495,0.11932361817356645
Hackerbruecke,0.004823353772006215,0.021655674179498274,0.01120181385010604,0.04407761617741884,0.11452329899461176,0.03032328532296666,0.039328846648148466,0.16190745540207294,0.12539556223201845,0.1691004046419335,0.15120127684431517,0.12646141193490368
Hauptbahnhof_tief,0.005048470657762495,0.018671428741361747,0.011062855882267207,0.03984788520329303,0.024385477268477045,0.10618765634912951,0.030210943408241684,0.1579532542667994,0.1805059859216382,0.14299057078201213,0.1606831870513763,0.12245228446764125
Karlsplatz_Stachus,0.004451104908116755,0.01603816650100945,0.011482902371485842,0.03626590465589217,0.013009818214645023,0.03662633449931569,0.12341504661925262,0.1292549188833738,0.16576828350797027,0.17233982203161916,0.1694274490882534,0.12192024871906569
Marienplatz,0.003972160678356104,0.014405025671364043,0.009918392451627091,0.034398481062859046,0.002018265855157067,0.013641614446618261,0.011202375021710868,0.30070667535843926,0.06958061567130673,0.26519306910284235,0.14450798737107592,0.1304553373086433
Isartor,0.006509691068406115,0.01630377827231759,0.00733426713587788,0.030065583292298265,0.005694798662336341,0.00712679043663216,0.009247871728555982,0.11694976447600416,0.31723382521603055,0.14388481841464956,0.19706755313707236,0.14258125815981912
Rosenheimer_Platz,0.005952645864315542,0.012756504218386788,0.00710305874883305,0.027099035690167153,0.001997102463849109,0.009172286281887865,0.002374428309839185,0.09508704533161902,0.1054916620166315,0.39473670599477584,0.18097335978691198,0.15725616529278297
Ostbahnhof,0.009290171013750608,0.011965297818073109,0.005292047046634041,0.023348104832134575,0.0028813229781217884,0.005670392974908202,0.0026836372758526107,0.02183089580905834,0.021233474593882695,0.03397960797565634,0.6285018440290301,0.23332320365289755
Leuchtenbergring,0.008566892318334764,0.007724457377992463,0.00265248381490555,0.019266807598629417,0.004785879343097284,0.001756620213917012,0.0034491381779154276,0.01330445463650918,0.01437350021545872,0.010270705289602661,0.11729242626190502,0.7965566347517326
