,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,124.92454628381802,29.201605448821454,36.78620720638013,19.442207597949924,38.37462001000367,15.489202464840965,28.51605598309181,44.96130117608736,38.42649537847892,60.673506164083285,46.93627649657841,33.956777549436346
Laim,5.629160795209778,90.47294353010712,31.293167163530384,46.90567689340335,26.334936215893183,30.205562309819413,40.98504961758317,40.66100409493049,55.24471810371672,65.92740944696097,52.472999166505176,33.37466610895858
Hirschgarten,5.338098835451797,24.62394075200657,85.06246197860095,24.690275542219133,41.18029706187754,39.34866279679785,32.895565084341875,68.2507569445765,55.73155221289771,70.85568359496772,41.12711970116012,41.38915975354607
Donnersbergerbruecke,5.17912823134109,11.800357993193444,26.09528070831654,84.1234518109507,21.06519850720703,36.477900295137395,52.966560095619464,53.784082579651425,67.41972517237005,54.622314434048405,56.05908657809626,37.56712283315653
Hackerbruecke,4.381586134896617,11.700962623291348,7.6393057710239916,15.455535065812102,81.71258254953548,24.65076016764411,38.40088046516063,76.3184495790859,51.97213659021776,82.45261555099783,53.242260083057154,38.00444027087528
Hauptbahnhof_tief,4.826990168433663,10.774727844320102,7.341184252748759,15.817500539534823,24.99087229676692,74.83185604496352,29.578307444639,76.14738442098695,77.74943654009913,68.79175305278596,49.64518824068178,42.469358335863056
Karlsplatz_Stachus,4.118305582764801,9.35203113387685,5.860475028106041,13.39268209567418,16.12117275440391,31.150839739114875,82.66725140772594,64.77102451534535,73.40586066166084,67.98689631689523,61.441600098832694,35.471242757668314
Marienplatz,3.93325208258626,8.2326303764831,6.542498597061405,14.098409466861998,-4.435199818430041,11.93557046519514,21.30858984309506,108.94820775570155,41.08970047227822,93.95914980773637,50.69391035823202,40.56004307411625
Isartor,4.918270557794207,9.040292721412602,5.776870052623989,11.973235348485748,10.12949956334425,9.165304743558622,12.930022355095435,63.50152588375295,111.51771196932047,67.85003662139857,58.513824429494335,45.258943128114765
Rosenheimer_Platz,4.761132124846615,7.98885894655521,4.723704545349258,9.864202622356405,-5.344083433179047,12.03932178760149,-5.250348826719062,44.57499486453016,57.77774408682811,120.15044911387227,64.6173317846093,38.105431801790736
Ostbahnhof,6.588839123346504,7.495810413123409,3.7580103296120373,8.928037430044538,4.7500214398190135,4.038265176538243,-4.775583033937959,8.071074578074416,8.715334011518614,14.66305070415201,143.86555366095328,63.48923028225756
Leuchtenbergring,6.798761244291614,5.492346430925924,3.114842997671122,6.951532549308666,5.070247216776145,4.551782428817306,-4.7355940324063415,6.288185852331161,7.1035941297606495,5.463409685619881,35.96021670068122,148.0924698914275
