,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,5.0,5.0,5.0,35.0,5.0,30.0,5.0,10.0,10.0,5.0,20.0,45.0
Laim,25.0,5.0,10.0,5.0,10.0,15.0,5.0,20.0,5.0,5.0,10.0,40.0
Hirschgarten,30.0,50.0,5.0,30.0,10.0,5.0,5.0,5.0,10.0,5.0,20.0,15.0
Donnersbergerbruecke,10.0,40.0,10.0,5.0,20.0,5.0,5.0,5.0,5.0,10.0,10.0,30.0
Hackerbruecke,70.0,55.0,15.0,35.0,5.0,25.0,5.0,5.0,10.0,5.0,10.0,35.0
Hauptbahnhof_tief,5.0,55.0,90.0,30.0,15.0,5.0,10.0,5.0,5.0,5.0,15.0,30.0
Karlsplatz_Stachus,10.0,55.0,10.0,35.0,15.0,5.0,5.0,5.0,5.0,10.0,10.0,40.0
Marienplatz,5.0,25.0,15.0,25.0,10.0,20.0,5.0,5.0,5.0,5.0,10.0,30.0
Isartor,70.0,25.0,110.0,45.0,25.0,5.0,10.0,5.0,5.0,5.0,10.0,30.0
Rosenheimer_Platz,70.0,30.0,15.0,130.0,10.0,20.0,10.0,5.0,5.0,5.0,5.0,30.0
Ostbahnhof,5.0,10.0,10.0,10.0,10.0,40.0,10.0,115.0,30.0,10.0,5.0,5.0
Leuchtenbergring,10.0,45.0,15.0,90.0,40.0,10.0,10.0,105.0,10.0,5.0,10.0,5.0
