,Pasing,Laim,Hirschgarten,Donnersbergerbruecke,Hackerbruecke,Hauptbahnhof_tief,Karlsplatz_Stachus,Marienplatz,Isartor,Rosenheimer_Platz,Ostbahnhof,Leuchtenbergring
Pasing,0.0,5.0,5.0,20.0,10.0,10.0,15.0,15.0,20.0,20.0,25.0,25.0
Laim,5.0,0.0,5.0,5.0,5.0,10.0,10.0,10.0,15.0,15.0,20.0,25.0
Hirschgarten,60.0,0.0,0.0,5.0,5.0,5.0,10.0,10.0,10.0,15.0,20.0,20.0
Donnersbergerbruecke,10.0,40.0,0.0,0.0,5.0,5.0,5.0,10.0,10.0,10.0,15.0,20.0
Hackerbruecke,100.0,20.0,10.0,20.0,0.0,5.0,5.0,5.0,10.0,10.0,15.0,15.0
Hauptbahnhof_tief,80.0,20.0,80.0,20.0,0.0,0.0,5.0,5.0,5.0,10.0,10.0,15.0
Karlsplatz_Stachus,60.0,20.0,15.0,20.0,5.0,0.0,0.0,5.0,5.0,5.0,10.0,15.0
Marienplatz,75.0,45.0,75.0,20.0,85.0,20.0,0.0,0.0,5.0,5.0,10.0,10.0
Isartor,90.0,45.0,75.0,15.0,0.0,20.0,0.0,0.0,0.0,5.0,5.0,10.0
Rosenheimer_Platz,90.0,40.0,70.0,30.0,80.0,15.0,10.0,0.0,0.0,0.0,5.0,10.0
Ostbahnhof,50.0,35.0,70.0,70.0,25.0,15.0,70.0,70.0,20.0,0.0,0.0,5.0
Leuchtenbergring,40.0,15.0,0.0,85.0,10.0,10.0,5.0,55.0,15.0,25.0,0.0,0.0
